,text,gpe,country,score,classified
9462,They have also been good to deal with helping me to save many lives at Idlib Province and returning in very.....,Idlib Province,Syria,0.8074,Positive
1235,@StuartyPhilpott @johfax  I have a 93% approval rating in Scotland.,Scotland,United Kingdom,0.4767,Positive
8962,For many years China (and many other countries) has been taking advantage of the United States on Trade Intellectual Property Theft and much more.,China,China,0.7964,Positive
4343,Melania and I extend our warmest greetings to those observing Rosh Hashanah here in the United States in Israel and around the world.,Israel,Israel,0.8402,Positive
6168,Heading back home from Singapore after a truly amazing visit.,Singapore,Singapore,0.7717,Positive
7320,Germany is paying 1% while the U.S. pays 4.3% of a much larger GDP - to protect Europe.,Germany,Germany,0.3818,Positive
6894,Prime Minister @AbeShinzo of Japan has been working with me to help balance out the one-sided Trade with Japan.,Japan,Japan,0.4019,Positive
4586,If Cuba is unwilling to make a better deal for the Cuban people the Cuban/American people and the U.S. as a whole I will terminate deal.,Cuba,Cuba,0.4404,Positive
962,@gastronome2  I love India!,India,India,0.6696,Positive
5521,The United Nations Security Council just voted 15-0 in favor of additional Sanctions on North Korea.,North Korea,North Korea,0.7845,Positive
6772,Late last night our deadline we reached a wonderful new Trade Deal with Canada to be added into the deal already reached with Mexico.,Canada,Canada,0.6705,Positive
6711,Today it was my great honor to welcome @prezydentpl Andrzej Duda of Poland to the @WhiteHouse!,Poland,Poland,0.8908,Positive
6486,I have just authorized a doubling of Tariffs on Steel and Aluminum with respect to Turkey as their currency the Turkish Lira slides rapidly downward against our very strong Dollar!,Turkey,Turkey,0.7897,Positive
9167,....I would also like to thank “Papa” Doug Manchester hopefully the next Ambassador to the Bahamas for the incredible amount of time money and passion he has spent on helping to bring safety to the Bahamas.,Bahamas,The Bahamas,0.9287,Positive
1177,Our new allies in Egypt the Muslim Brotherhood have close relations with Iran http://t.co/pVI6Rxju  We never should have abandoned Mubarak.,Iran,Iran,0.35700000000000004,Positive
2153,A classic - China just signs massive oil and gas deal with Russia giving Russia plenty of ammo to continue laughing in U.S. face.,Russia,Russia,0.6808,Positive
3326,Many people in the U.K. agree with me!,U.K.,United Kingdom,0.4199,Positive
8351,It was a pleasure to host my friends President Andrzej Duda and Mrs. Agata Kornhauser-Duda of Poland at the @WhiteHouse today.,Poland,Poland,0.7783,Positive
6324,RT @Scavino45: President @realDonaldTrump meets with Chancellor Angela Merkel of Germany along with their respective delegations at #NATOS…,Germany,Germany,0.4215,Positive
1704,Syria is now fully prepared!,Syria,Syria,0.358,Positive
5899,The Dems will not approve hundreds of good people including the Ambassador to Germany.,Germany,Germany,0.4404,Positive
10640,@JodeyArrington from the Great State of Texas has been an incredible supporter of our #MAGA Agenda.,the Great State,Zimbabwe,0.7351,Positive
6778,Congratulations to Mexico and Canada!,Mexico,Mexico,0.636,Positive
6770,Word is that Kanye West who put on a MAGA hat after the show (despite being told “no”) was great.,Kanye West,Botswana,0.6249,Positive
2861,Just received huge applause when I said Berghdal should be sent back to Afghanistan!,Afghanistan,Afghanistan,0.6588,Positive
9635,year since President @realDonaldTrump announced the new US-Mexico-Canada trade agreement.,Canada,Canada,0.4939,Positive
2790,China is laughing at us.,China,China,0.4939,Positive
9082,RT @NHC_Atlantic: 6 AM EDT Tropical Cyclone Update on Hurricane #Dorian: Eye of Dorian Wobbling over Grand Bahama Island.,Grand Bahama Island,The Bahamas,0.4588,Positive
4034,Leaving now for a one night trip to Scotland in order to be at the Grand Opening of my great Turnberry Resort.,Scotland,United Kingdom,0.7964,Positive
1507,Congratulations to Aberdeen and Scotland for just having our great golf course named Best New Course In World by The Robb Report.,Aberdeen,United Kingdom,0.9217,Positive
10318,“I like President Trump’s Tweets (Social Media) I like everything about him...and this Ukraine stuff the trial the impeachment this isn’t t about Ukraine.,Ukraine,Ukraine,0.6124,Positive
9576,Anyone who wants to assist Syria in protecting the Kurds is good with me whether it is Russia China or Napoleon Bonaparte.,Syria,Syria,0.4404,Positive
8930,So Germany is paying Zero interest and is actually being paid to borrow money while the U.S. a far stronger and more important credit is paying interest and just stopped (I hope!),Germany,Germany,0.8993,Positive
9615,Think of how many lives we saved in Syria and Turkey by getting a ceasefire yesterday.,Syria,Syria,0.4215,Positive
8791,South Korea has agreed to pay substantially more money to the United States in order to defend itself from North Korea.,South Korea,South Korea,0.5423,Positive
6787,“National wage growth is at the highest it’s been in nearly 17 months -- and according to a new study released by Glassdoor it’s not expected to slow down anytime soon....” https://t.co/G0Ts6yVqF9,Glassdoor,None,0.3818,Positive
1617,@CMCoe Have fun!,@CMCoe,None,0.5562,Positive
5583,More great news as a result of historical Tax Cuts and Reform: Fiat Chrysler announces plan to invest more than $1 BILLION in Michigan plant relocating their heavy-truck production from Mexico to Michigan adding 2500 new jobs and paying $2000 bonus to U.S. employees!,Mexico,Mexico,0.7897,Positive
1591,@GolfweekMag - Thank you for Trump Scotland honor!,Trump Scotland,United Kingdom,0.7177,Positive
6621,President Bashar al-Assad of Syria must not recklessly attack Idlib Province.,Syria,Syria,0.3724,Positive
10353,Just received a briefing on the Coronavirus in China from all of our GREAT agencies who are also working closely with China.,China,China,0.7034,Positive
9951,NATO China Russia Japan and the entire world is unified on this issue!,Japan,Japan,0.4389,Positive
6318,What good is NATO if Germany is paying Russia billions of dollars for gas and energy?,Russia,Russia,0.6124,Positive
7457,For decades politicians promised to secure the border fix our trade deals bring back our factories get tough on China move the Embassy to Jerusalem make NATO pay their fair share and so much else - only to do NOTHING (or worse)....,Jerusalem,"('Jerusalem', '[[Jerusalem]]')",0.7579,Positive
2165,The Obama administration gives better medical care to Al Qaeda at Gitmo than to our vets.,Gitmo,None,0.7269,Positive
5242,Iran just test-fired a Ballistic Missile capable of reaching Israel.They are also working with North Korea.Not much of an agreement we have!,North Korea,North Korea,0.784,Positive
8905,Spoke to my two good friends Prime Minister Modi of India and Prime Minister Khan of Pakistan regarding Trade Strategic Partnerships and most importantly for India and Pakistan to work towards reducing tensions in Kashmir.,India,India,0.7089,Positive
5744,Spoke to Prime Minister Abe of Japan who is very enthusiastic about talks with North Korea.,Japan,Japan,0.5413,Positive
1832,@ThomasARoberts   Thomas you will be a fantastic host of the Miss Universe Pageant live from Moscow on Nov 9.,Moscow,Russia,0.4588,Positive
8363,I just met with the Queen of England (U.K.) the Prince of Whales the P.M. of the United Kingdom the P.M. of Ireland the President of France and the President of Poland.,France,France,0.4215,Positive
8860,Good things were stated on the call with China the other day.,China,China,0.4404,Positive
6490,Thank you to Kanye West and the fact that he is willing to tell the TRUTH.,Kanye West,Botswana,0.6739,Positive
872,just said US Asia focus 'not aimed to contain China' http://t.co/VyM7u9dw China is hoping that Obama is re-elected.,China,China,0.4215,Positive
5495,I have determined that it is time to officially recognize Jerusalem as the capital of Israel.,Israel,Israel,0.34,Positive
5983,China and the United States are working well together on trade but past negotiations have been so one sided in favor of China for so many years that it is hard for them to make a deal that benefits both countries.,China,China,0.8316,Positive
483,Ron DeSantis Iraq vet Navy hero bronze star Yale Harvard Law running for Congress in Fla.,Iraq,Iraq,0.5574,Positive
10183,RT @LindseyGrahamSC: I very much support Senator @tedcruz's resolution in support of President @realDonaldTrump's decision to take out Iran…,Iran,Iran,0.7146,Positive
6247,....When I had Harley-Davidson officials over to the White House I chided them about tariffs in other countries like India being too high.,India,India,0.3612,Positive
1153,@mayorgas  Good.,@mayorgas,Philippines,0.4404,Positive
1812,of Iran tweets sweet nothings to Obama he forbids the Iranians to use twitter.,Obama,Japan,0.1779,Positive
2427,China's the leading exporter of Iraqi oil yet they won’t lift a finger against ISIS.,China,China,0.0,Neutral
7279,My meeting in Argentina with President Xi of China was an extraordinary one.,China,China,0.0,Neutral
7044,We need John’s voice in D.C. His opponent just moved to the area - is Pro-Iran and Anti-Israel.,Anti-Israel,India,0.0,Neutral
6865,For the record I have no financial interests in Saudi Arabia (or Russia for that matter).,Saudi Arabia,Saudi Arabia,-0.0516,Negative
2044,Iraq buying $200000000 worth of weapons from Iran.,Iraq,Iraq,-0.25,Negative
1724,Russia is sending a fleet of ships to the Mediterranean.,Russia,Russia,0.0,Neutral
888,China's Financial Institutions are expanding overseas.http://t.co/WOfGLvNL They will own everything if we don't stop them now.,China,China,0.2235,Positive
8168,RT @WhiteHouse: After arriving in Tokyo President @realDonaldTrump spoke with Japanese business leaders at the U. S. Ambassador to Japan’s…,Japan,Japan,0.0,Neutral
1162,Clinton leaving the hospital yesterday with @ChelseaClinton and Pres.,@ChelseaClinton,United Kingdom,0.0,Neutral
9260,Producer prices in China shrank most in 3 years due to China’s big devaluation of their currency coupled with monetary stimulus.,China,China,0.0,Neutral
5386,I am leaving China for #APEC2017 in Vietnam.,China,China,0.0,Neutral
9573,Let Syria and Assad protect the Kurds and fight Turkey for their own land.,Assad,None,0.0,Neutral
7749,It was announced today by the U.S. Treasury that additional large scale Sanctions would be added to those already existing Sanctions on North Korea.,North Korea,North Korea,0.2023,Positive
1618,The 2013 Trump @MissUniverse Pageant comes to Moscow on November 9th.,Moscow,Russia,0.0,Neutral
2335,PM @David_Cameron should be run out of office for spending so much of England’s money to subsidize windfarms in Scotland.,England,United Kingdom,0.0,Neutral
10297,RT @RichLowry: I don’t get how people who didn’t balk at Obama’s refusal to give Ukraine lethal aid can as *as a policy mattter* object to…,Obama,Japan,0.0,Neutral
9446,RT @hughhewitt: Stream of stories in @Jerusalem_Post about @realDonaldTrump and Turkey: https://t.co/iTl0I0iIpd Now breaking news of an Erd…,Turkey,Turkey,0.0,Neutral
9956,RT @nypost: Ted Cruz says Trump has 'authority' to investigate corruption in Ukraine https://t.co/xnJNUpwf1f https://t.co/fmNnbfa5lW,Ukraine,Ukraine,0.0,Neutral
4922,I will be announcing my decision on Paris Accord Thursday at 3:00 P.M.,Paris,France,0.0,Neutral
43,On our YouTube channel- the opening of the incredible Trump Ocean Club in Panama.... http://t.co/6xKmJi8,Panama,Panama,0.0,Neutral
4777,We should start an immediate investigation into @SenSchumer and his ties to Russia and Putin.,Putin,Russia,0.0,Neutral
2480,Right now 4000 U.S. troops are stupidly heading to West Africa to help fight Ebola.No help from China Russia or wealthy African oil nations,West Africa,Zambia,0.3182,Positive
951,If Obama goes after Mitt's private sector experience in the next debate then Mitt should ask for Obama's college records--all of them.,Obama,Japan,0.0,Neutral
916,Now that Obama’s poll numbers are in tailspin – watch for him to launch a strike in Libya or Iran.,Libya,Libya,-0.128,Negative
2166,Rising 70 stories over Panama Bay @TrumpPanama offers our elite amenities in Latin Americas tallest building  http://t.co/2jIAqK93iA,Panama,Panama,0.0,Neutral
9164,The @USCG @FEMA and all others along with other countries that have been helping have been asked to move people in the badly hit sections of the Bahamas to other sections of the Bahamas....,Bahamas,The Bahamas,-0.2263,Negative
4984,North Korea has just launched another missile.,North Korea,North Korea,0.128,Positive
325,China is driving the price of gold up in order to ease pressure against Iranian sanctions.,China,China,0.0772,Positive
5428,China is sending an Envoy and Delegation to North Korea - A big move we'll see what happens!,China,China,0.0,Neutral
187,Why does the federal government send foreign aid  to China?,China,China,0.0,Neutral
8294,....stem the tide of Migration through Mexico and to our Southern Border.,Mexico,Mexico,0.0,Neutral
7958,No other president has had the guts to take on the China challenge.,China,China,-0.2263,Negative
7806,Leaving now for L.A.,L.A.,France,0.0,Neutral
9907,RT @WhiteHouse: President @realDonaldTrump just met with Prime Minister @JustinTrudeau of Canada.,Canada,Canada,0.0,Neutral
8087,When the time is right we will make a deal with China.,China,China,0.0,Neutral
6088,There was No Collusion with Russia (except by the Democrats).,Russia,Russia,-0.29600000000000004,Negative
10418,RT @jsolomonReports: Breaking: Mueller’s team was told by key witness in 2018 that Russia collusion evidence found in Ukraine was fabricate…,Ukraine,Ukraine,0.0,Neutral
4955,Mexico was just ranked the second deadliest country in the world after only Syria.,Syria,Syria,0.0,Neutral
5864,Pastor Andrew Brunson a fine gentleman and Christian leader in the United States is on trial and being persecuted in Turkey for no reason.,Turkey,Turkey,0.0258,Positive
5439,It’s a really big deal especially in China.,China,China,0.0,Neutral
7260,....in Argentina with President Vladimir Putin.,Argentina,Argentina,0.0,Neutral
4693,Russia has never tried to use leverage over me.,Russia,Russia,0.0,Neutral
9654,Germany and others are  actually GETTING PAID to borrow money.,Germany,Germany,0.0,Neutral
150,Everyone should boycott Italy if Amanda Knox is  not freed---she is totally innocent.,Italy,Italy,0.10099999999999999,Positive
2402,Tahmooressi has now been held in Mexican jail for over 150 days.,Tahmooressi,None,0.0,Neutral
1803,@IsraeliPM @netanyahu’s UN address was a strong statement to the world that @Israel will not allow Iran to get nuclear weapons.,Iran,Iran,-0.0685,Negative
1483,I was never a fan of Bush 2 FOR MANY REASONS including the fact that we should never have gone into Iraq but once there kept the oil!,Iraq,Iraq,-0.1957,Negative
2593,Obama’s China ‘climate’ deal binds America with language of ‘will’ curb emissions now while China only ‘intends’ to curb in 2030.,China,China,0.0,Neutral
9007,I have gotten to know President @jairbolsonaro well in our dealings with Brazil.,Brazil,Brazil,0.2732,Positive
5320,Uranium deal to Russia with Clinton help and Obama Administration knowledge is the biggest story that Fake Media doesn't want to follow!,Russia,Russia,-0.2297,Negative
213,Now Canada is looking to export more oil to China.,Canada,Canada,0.0,Neutral
8032,RT @LindseyGrahamSC: When it comes to China they will never change their behavior until someone stands up to them.,China,China,0.0,Neutral
2855,http://t.co/9b4goLdxTO Guess he would have invaded Libya too!,Libya,Libya,0.0,Neutral
5143,Well their was Afghanistan (somber) the big Rally.....,Afghanistan,Afghanistan,0.2732,Positive
3400,Man shot inside Paris police station.,Paris,France,0.0,Neutral
8663,We will announce a substantial reciprocal action on Macron’s foolishness shortly.,Macron,None,-0.25,Negative
6097,Canada has all sorts of trade barriers on our Agricultural products.,Canada,Canada,0.0,Neutral
8053,..There will be nobody left in China to do business with.,China,China,0.0,Neutral
7299,.....China had agreed to start “immediately” buying U.S. products.” @business,China,China,0.2732,Positive
2689,@GeraldoRivera or @LeezaGibbons?,@GeraldoRivera,Uruguay,0.0,Neutral
185,See what I have to say about Iran and Iraq in today's #trumpvlog... http://t.co/T44XcgeY,Iraq,Iraq,0.0,Neutral
2227,Actually they will take over Iraq and all of their oil.,Iraq,Iraq,0.0,Neutral
9284,https://t.co/87jvaYUkyn,https://t.co/87jvaYUkyn,Colombia,0.0,Neutral
1443,@borland_jim Macy's ships to Canada!,Canada,Canada,0.0,Neutral
7954,....of additional goods sent to us by China remain untaxed but will be shortly at a rate of 25%.,China,China,0.0,Neutral
10342,I will always stand with the State of Israel and the Jewish people.,the State of Israel,Israel,0.0,Neutral
9636,Canada is well served.,Canada,Canada,0.2732,Positive
458,Strong leader: @IsraeliPM Netanyahu explained at AIPAC the threat Israel faces from Iran's nuclear drive.,Iran,Iran,-0.0258,Negative
3088,Am now in L.A. Will be going to the U.S.S.,L.A.,France,0.0,Neutral
8862,Millions of jobs are being lost in China to other non-Tariffed countries.,China,China,-0.3182,Negative
2291,If a person is #1 at Harvard and comes from Europe or Asia they can't get into the U.S. From Mexico etc.,Mexico,Mexico,0.0,Neutral
8699,Somali refugees arresed in Tucson on way to Egypt.,Egypt,Egypt,0.0,Neutral
4623,Masa (SoftBank) of Japan has agreed to invest $50 billion in the U.S. toward businesses and 50000 new jobs....,Japan,Japan,0.2732,Positive
6892,He is waiting for the results of the investigations being done by the Saudis and Turkey and just gave a news conference to that effect.,Turkey,Turkey,0.0,Neutral
1593,We should not cut any aid to Egypt.,Egypt,Egypt,0.2057,Positive
1846,Contractors can blame Obama admin all day for their $600M failure but both parties are at fault--pay taxpayers back.,Obama,Japan,0.1779,Positive
8477,I am in South Korea now.,South Korea,South Korea,0.0,Neutral
8412,We will be having an extended meeting next week at the G-20 in Japan.,Japan,Japan,0.0,Neutral
10494,Number 2 is Prime Minister Modi of India.” Actually I am going to India in two weeks.,India,India,0.0772,Positive
9343,RT @RNCResearch: Bret Baier on Democrat speculation over Ukraine call: “none of those things are in this transcript”https://t.co/Mw4XOcGhN…,Ukraine,Ukraine,0.0,Neutral
8126,The Fake News put out a typically false statement without any knowledge that the United States was trying to set up a negotiation with Iran.,Iran,Iran,-0.0772,Negative
2225,Iran is moving troops into Iraq under the guise that it is helping out.,Iran,Iran,0.29600000000000004,Positive
6041,I have decided to terminate the planned Summit in Singapore on June 12th.,Singapore,Singapore,0.0,Neutral
5181,I will be meeting General Kelly General Mattis and other military leaders at the White House to discuss North Korea.,North Korea,North Korea,0.0,Neutral
6996,We need Rod in D.C.,Rod,Norway,0.0,Neutral
9784,“Mark Levin blasts Adam Schiff claims 'the law is on the president's side' on Ukraine” https://t.co/GhO065fd8X,https://t.co/GhO065fd8X,Colombia,0.0,Neutral
897,Under Obama Iran has taken over Iraq Al Qaeda has taken over Libya the Muslim Brotherhood now controls Egypt.,Iran,Iran,0.0,Neutral
528,Our ally Canada is 'frustrated' by @BarackObama's radical anti-gas policies http://t.co/zyMZkpM9 BHO is forcing Canada to send gas to China.,Canada,Canada,0.0,Neutral
3028,As I have long stated we are so tied in with China and Asia that their markets are now taking the U.S. market down.,China,China,0.0,Neutral
913,A record 46.68M Americans are now on food stamps http://t.co/0acwArSn  Four more years?,http://t.co/0acwArSn,Colombia,0.0,Neutral
3228,I never said that China was in the bad TPP trade deal but that China would come in the back door at a later date.,China,China,-0.3071,Negative
1716,Don’t let Syria rule the agenda.,Syria,Syria,0.0,Neutral
5546,Sanctions and “other” pressures are beginning to have a big impact on North Korea.,North Korea,North Korea,-0.3182,Negative
9185,RT @arielmou: ?#Video of @IvankaTrump?,@IvankaTrump,Slovakia,0.0,Neutral
871,Obama's Def.,Obama,Japan,0.0,Neutral
8043,China is DREAMING that Sleepy Joe Biden or any of the others gets elected in 2020.,China,China,0.0,Neutral
10606,RT @tonykatz: Check out the press conference on @93wibc at 6pmET,@93wibc,France,0.0,Neutral
984,My offer to Obama is about transparency.,Obama,Japan,0.0,Neutral
6699,Just watched Sunday Morning Futures with @MariaBartiromo on @FoxNews.,@MariaBartiromo,Canada,0.0,Neutral
1655,If FM @AlexSalmond needs to litter Scotland w/ ugly industrial wind turbines to gain independence he will lose!,Scotland,United Kingdom,-0.4389,Negative
2670,With oil below $50 the blighted views by windfarms of historic @CulzeanCastle will be very sad.,@CulzeanCastle,United Kingdom,-0.5256,Negative
6064,Who’s going to give back the young and beautiful lives (and others) that have been devastated and destroyed by the phony Russia Collusion Witch Hunt?,Russia,Russia,-0.7003,Negative
8527,RT @SteveScalise: Did Joe Biden forget about Obama’s Secretary of State Hillary Clinton offering a “reset” with Russia undermining our nat…,Obama,Japan,-0.5267,Negative
353,Canada will now sell its oil to China because @BarackObama rejected Keystone.,Canada,Canada,-0.5106,Negative
2446,Stop flights into the U.S. from West Africa immediately!,West Africa,Zambia,-0.3595,Negative
808,@lancearmstrong teammate is angry and jealous--he is no Lance.,Lance,Poland,-0.6705,Negative
561,It would be a tragedy to abandon him in China.,China,China,-0.8074,Negative
1441,Our enemy China is illegally buying oil from our enemy Iran http://t.co/HCndC36H2Z China loves it!,China,China,-0.5562,Negative
8424,Iran made a very big mistake!,Iran,Iran,-0.4534,Negative
2560,Chinese oil trader just bought “record number” of Mideast crude http://t.co/ocwvpfElji  China gains while we fight ISIS.,http://t.co/ocwvpfElji,Colombia,-0.5994,Negative
10333,RT @LouDobbs: Rejected Neocon Failing NYTimes Deep State's Last Desperate Act After @POTUS Attorneys Destroy Radical Dems Schiff and Pel…,Pel,Nepal,-0.9081,Negative
2601,Iraq should be paying us while we fight ISIS.,Iraq,Iraq,-0.3818,Negative
7254,it has proven only one thing-there was NO Collusion with Russia.,Russia,Russia,-0.4466,Negative
10263,Instead of leading Iran toward ruin its leaders should abandon terror and Make Iran Great Again!,Iran,Iran,-0.7424,Negative
717,He has stood idle while China steals our jobs.,China,China,-0.5106,Negative
1871,Put Kathleen Sebelius out of her misery and lovingly say YOU'RE FIRED!,YOU'RE,France,-0.628,Negative
422,As the nuclear crisis with Iran shows America needs to import oil from a reliable region.,Iran,Iran,-0.6249,Negative
4874,The Democrats want to shut government if we don't bail out Puerto Rico and give billions to their insurance companies for OCare failure.,Puerto Rico,Puerto Rico,-0.4588,Negative
9352,Again the President of the Ukraine said THERE WAS NO (ZERO) PRESSURE PUT ON HIM BY ME.,Ukraine,Ukraine,-0.7065,Negative
2704,So many people are angry at my comments on Mexico—but face it—Mexico is totally ripping off the US.,Mexico,Mexico,-0.5106,Negative
1406,South Korea must in some form pay for our help-the U.S. must stop being stupid!,South Korea,South Korea,-0.7424,Negative
4814,When will Sleepy Eyes Chuck Todd and @NBCNews start talking about the Obama SURVEILLANCE SCANDAL and stop with the Fake Trump/Russia story?,Russia,Russia,-0.8374,Negative
772,We are about to have a record $500B trade deficit with the Chinese this year.,Chinese,United Kingdom,-0.4019,Negative
1858,ObamaCare is a disaster and Snowden is a spy who should be executed-but if it and he could reveal Obama's recordsI might become a major fan,Obama,Japan,-0.4215,Negative
4168,Obama's disastrous judgment gave us ISIS rise of Iran and the worst economic numbers since the Great Depression!,Iran,Iran,-0.8356,Negative
7932,RT @kenvogel: NEW: The BIDENS are entangled in a Ukrainian corruption scandal:@JoeBiden pushed Ukraine to fire a prosecutor seen as corrup…,Ukraine,Ukraine,-0.34,Negative
1614,We are sending foreign aid to China our greatest threat http://t.co/ljj6DcWb3Z We are financing our enemy.,China,China,-0.4019,Negative
4853,Another terrorist attack in Paris.,Paris,France,-0.8316,Negative
7433,The damage done to our Country from a badly broken Border - Drugs Crime and so much that is bad - is far greater than a Shutdown which the Dems can easily fix as soon as they come back to Washington!,Shutdown,None,-0.9151,Negative
6602,When Lester Holt got caught fudging my tape on Russia they were hurt badly!,Russia,Russia,-0.7777,Negative
10225,Only a complete fool would have given that 150 Billion Dollars Plus to Iran.,Iran,Iran,-0.4404,Negative
454,Obamacare's high risk pool spending DOUBLED government estimates http://t.co/Hjzp9noi  @BarackObama is bankrupting this country!,@BarackObama,Japan,-0.3382,Negative
470,Afghanistan is a total disaster.,Afghanistan,Afghanistan,-0.6249,Negative
4115,On-line from Wikileakes really vicious.,Wikileakes,None,-0.4201,Negative
6882,I am watching the Democrat Party led (because they want Open Borders and existing weak laws) assault on our country by Guatemala Honduras and El Salvador whose leaders are doing little to stop this large flow of people INCLUDING MANY CRIMINALS from entering Mexico to U.S.....,Mexico,Mexico,-0.8766,Negative
351,Iran's nuclear program is the threat not Israel's right to self-defense.,Israel,Israel,-0.5267,Negative
9778,The story in the Amazon Washington Post of course picked up by Fake News CNN saying “President Trump asked for AG Barr to host a news conference clearing him on Ukraine” is totally untrue and just another FAKE NEWS story with anonymous sources that don’t exist....,Ukraine,Ukraine,-0.7378,Negative
264,Yesterday I explained to @wolfblitzercnn on @CNNSitRoom why @BarackObama doesn't deserve credit for killing Bin Laden http://t.co/PQwVDxVb,@BarackObama,Japan,-0.7639,Negative
