,text,gpe,country,score,classified
385,LIVE: Celebrate the start of the holiday season by watching the National Christmas Tree lighting at the @WhiteHouse.,@WhiteHouse,United States,0.7506,Positive
787,Thank you to 3.1 million @OFA volunteers & supporters making sure the voices of Americans are heard in Washington: http://OFA.BO/FWEk3bÂ,Washington,United States,0.7717,Positive
765,More good news about the new health care marketplaces opening on Oct 1 this time from Maryland: http://OFA.BO/edKWesÂ  #Obamacare,Maryland,United States,0.7501,Positive
226,ICYMI: Some of America's largest businesses are investing in clean energy to cut carbon pollution.,America,United States,0.4019,Positive
253,America should be very proud.,America,United States,0.5256,Positive
54,It was one of the best parts of the job â€“ hearing from you.https://nyti.ms/2jAhB2PÂ,you.https://nyti.ms/2jAhB2PÂ,France,0.6369,Positive
866,Happy St. Patrick's Day!pic.twitter.com/Xtx1qxXUWs,St. Patrick's,United States,0.6114,Positive
712,@OFA_MA and @RaiseUpMA volunteers are working for a better minimum wage in Massachusetts.,Massachusetts,United States,0.4404,Positive
926,President Obama has been sworn in for a second term as President of the United States.,the United States,United States,0.4215,Positive
323,Today there are more job openings in the United States than any time since 2001. â€”President Obama,the United States,United States,0.4215,Positive
18,Thanks to the Chicago @FoodDepository team for all you do and to the volunteers who are doing great work and let me crash today.,Chicago,United States,0.6486,Positive
950,â€œMy favorite moment: Traveling to Florida from California to get out the vote.,Florida,United States,0.4588,Positive
57,LIVE: President Obama is in Miami talking about the progress made possible by the Affordable Care Act.,Miami,United States,0.7184,Positive
392,FACT: Thanks to #ImmigrationAction the economy will grow and average wages will go up for both U.S. born and immigrant workers.,U.S.,United States,0.4404,Positive
690,WATCH: President Obama is in New Orleans talking about growing the economy and creating jobs.,New Orleans,United States,0.4404,Positive
242,America has always done better economically when we're all in it together.,America,United States,0.4404,Positive
636,Before the Affordable Care Act lifetime spending limits would prevent people from getting coverage: http://ofa.bo/gZÂ  #TBT,http://ofa.bo/gZÂ,Russia,0.5106,Positive
740,Providing a pathway to citizenship would mean greater economic benefits for the U.S. than legal status alone.,U.S.,United States,0.5574,Positive
938,I believe America only succeeds and thrives when we've got a strong and growing middle class.,America,United States,0.802,Positive
285,America needs to #LeadOnTrade by making sure any deal lives up to our values.,America,United States,0.6124,Positive
71,Adding clean energy jobs is another way the U.S. is continuing to #ActOnClimate.pic.twitter.com/EbM6XUrDRW,U.S.,United States,0.5859,Positive
169,The Clean Power Plan is one of the biggest step America's ever taken to tackle climate change.pic.twitter.com/UOvVIhJ7pp,America,United States,0.4019,Positive
714,Let's make sure the United States of America keeps being a place where you can make it if you try.,the United States of America,United States,0.6249,Positive
11,Glad to see this expansion into Africa because for a rising continent this can be about a lot more than what happens on the court.https://twitter.com/NBA/status/1096862836989534208Â â€¦,court.https://twitter.com/NBA/status/1096862836989534208Â,Brazil,0.4588,Positive
953,"President Obama in his victory speech last night: ""For the United States of America the best is yet to come.",the United States of America,United States,0.7906,Positive
221,â€œIt was our very willingness to negotiate that helped America rally the world to our cause.â€� â€”President Obama #IranDeal,America,United States,0.3384,Positive
228,This deal will make America and the world safer and more secure.,America,United States,0.6697,Positive
33,Congrats to @LoyolaChicago and Sister Jean for a last-second upset - I had faith in my pick!,@LoyolaChicago,United States,0.5983,Positive
34,I got my start holding community meetings in Chicago so it was fun to be home for one tonight.,Chicago,United States,0.552,Positive
495,You could win a free trip to Chicago this summer.,Chicago,United States,0.7964,Positive
251,In the weekly address the President reaffirms how the Supreme Court ruling on #Obamacare is a victory for America:http://ofa.bo/g8YpÂ,America,United States,0.5574,Positive
74,From the Clean Power Plan to the Paris Climate Agreement the U.S. is leading the way in the fight to #ActOnClimate.pic.twitter.com/aBMaZdrgGB,U.S.,United States,0.5106,Positive
834,Together our voices are powerful enough to make Congress act.â€”Ronnie whose friend Greg died by gunfire in Chicago.,Chicago,United States,0.34,Positive
613,It's good to be in Wisconsin.,Wisconsin,United States,0.4404,Positive
624,I believe when women succeed America succeeds.,America,United States,0.7506,Positive
951,â€œMy favorite moment: Traveling to Florida from California to get out the vote.,California,United States,0.4588,Positive
505,Good news: The economy added 216000 private sector jobs in May.,May.,Mayotte,0.4404,Positive
321,On the fifth anniversary of health care reform see how America is #BetterWithObamacare: http://ofa.bo/c3tzÂ pic.twitter.com/ZdvOy37FwM,America,United States,0.4939,Positive
931,Air Force One night Ohio: One of our favorite photos of 2012.pic.twitter.com/3XcmiAR0,Ohio,United States,0.4588,Positive
634,In a 21st century economy we will make sure that as America grows stronger this recovery leaves no one behind.,America,United States,0.4019,Positive
412,Great news: The U.S. economy added 248000 jobs in September.,U.S.,United States,0.6249,Positive
678,I want to extend my best wishes to all our Sikh friends across the United States and around the world.,the United States,United States,0.9136,Positive
492,Chip in and be automatically entered to join @OFA in Chicago to celebrate President Obama's birthday: http://ofa.bo/azuÂ,Chicago,United States,0.7096,Positive
127,ET to watch President Obama speak to supporters in Springfield Illinois: http://ofa.bo/x7zÂ,Springfield,United States,0.4404,Positive
450,Read the truth about economic opportunity: http://ofa.bo/d0iqÂ  #OpportunityForAll,http://ofa.bo/d0iqÂ,Russia,0.6249,Positive
882,America only moves forward when we do so togetherâ€”when we accept certain obligations to one another.http://OFA.BO/NmaATnÂ,America,United States,0.6077,Positive
447,Shout out to #LLWS U.S. champions Chicago's own Jackie Robinson West All-Stars.,U.S.,United States,0.5267,Positive
121,ET to see President Obama congratulate Milwaukee on winning the Healthy Communities Challenge.,Milwaukee,United States,0.8625,Positive
532,Watch: Health care reform changed the course of history in America.,America,United States,0.4939,Positive
936,If you want to find the best workers in the world... you should invest in the United States of America.,the United States of America,United States,0.8074,Positive
104,The U.S. is the only advanced nation that doesn't guarantee paid sick leaveâ€”it's time to change that.,leaveâ€”it,Italy,0.4519,Positive
294,Read how this fifth-grade teacher helped inspire the President of the United States: http://ofa.bo/t4wUÂ  #ThankATeacher,the United States,United States,0.7579,Positive
674,Good news: In September U.S. job openings and overall hiring both reached five-year highs.,U.S.,United States,0.5106,Positive
504,In America higher education opens the doors to opportunity for all.,America,United States,0.4215,Positive
308,LIVE: President Obama is in Utah talking about training American workers for clean energy jobs.,Utah,United States,0.5859,Positive
325,LIVE: President Obama speaks at the City Club of Cleveland about the importance of middle-class economics.,Cleveland,United States,0.3612,Positive
805,But it's one uniquely suited to America's strengths.,America,United States,0.4019,Positive
83,The Supreme Court just struck down Texas' overly restrictive abortion lawsâ€”a win for women's reproductive rights.http://ofa.bo/d65wÂ,Texas,United States,0.7506,Positive
618,Business leaders are starting to realize that China's no longer the best place to invest and create jobsâ€”America is.,China,China,0.6249,Positive
371,In the third quarter the U.S. economy grew at its strongest rate in over a decade.,U.S.,United States,0.4404,Positive
733,Tomorrow the President will honor the March on Washington's 50th anniversary from the Lincoln Memorial: http://OFA.BO/1dKoSHÂ  #MLKDream50,Washington,United States,0.4939,Positive
833,"RT if you agree: ""If you are a citizen you shouldnâ€™t have to wait years before your family is able to join you in America.",America,United States,0.5719,Positive
140,The United States of America is the most powerful nation on Earth.,The United States of America,United States,0.7089,Positive
570,It's good for America.,America,United States,0.4404,Positive
137,LIVE: President Obama is holding a town hall in Louisiana on the progress Americans have made and the path forward.,Louisiana,United States,0.4215,Positive
108,The United States of America has the strongest most durable economy in the worldâ€”and it's getting better.pic.twitter.com/mCyYWccvf5,The United States of America,United States,0.6908,Positive
644,Make a donation to @OFA today and you'll be automatically entered for a free trip to Washington D.C.: http://ofa.bo/t9Â,Washington D.C.,United States,0.5106,Positive
573,Today Michelle and I join our fellow Christians in the United States and around the world in marking Ash Wednesday.,the United States,United States,0.6124,Positive
275,These #CleanWaterRules will protect America's drinking water from polluters.pic.twitter.com/P643CfwEBV,America,United States,0.3818,Positive
715,I will not negotiate on anything when it comes to the full faith and credit of the United States of America.,the United States of America,United States,0.802,Positive
284,It's time for the United States to #LeadOnTradeâ€”add your name if you agree: http://ofa.bo/f5PSÂ,the United States,United States,0.6486,Positive
227,Stand up for a society that's ready for a changing America: http://ofa.bo/h9DBÂ,America,United States,0.3612,Positive
892,"President Obama on restoring America's basic bargain: ""If you work hard if you're willing to meet your responsibilitiesâ€”you can get ahead.""",America,United States,0.3818,Positive
406,Bold big-hearted and Boston strong Tom was the embodiment of the city he loved and led.,Boston,United States,0.8689,Positive
105,Clean energy currently employs 2.5 million people in the United States.,the United States,United States,0.765,Positive
451,Vermonters sent him to Washington to follow his conscience and he did them proud.,Washington,United States,0.4767,Positive
270,This is how #Obamacare is making health care in America better: http://ofa.bo/r7hfÂ,America,United States,0.7269,Positive
906,Mr. Speaker the President of the United States:pic.twitter.com/Um33xOeD,the United States,United States,0.4215,Positive
437,You have made America stronger because of what you've done.,America,United States,0.3818,Positive
611,If every child is successful ... then the America my child grows up in will be more successful.,America,United States,0.8225,Positive
524,Support President Obama's plan to double the production of clean energy in the U.S. by 2020: http://ofa.bo/hcGÂ,U.S.,United States,0.7579,Positive
46,I'm grateful to @SenJohnMcCain for his lifetime of service to our country.,@SenJohnMcCain,Senegal,0.4588,Positive
865,FACT: 11155 @OFA volunteers have signed up for 411 action planning sessions in 46 states and D.C. to develop organizing plans.,D.C.,United States,0.0,Neutral
669,In Kentucky the long-uninsured are signing up for health insurance on the new marketplace.,Kentucky,United States,0.0,Neutral
569,http://ofa.bo/aCdÂ  #Asegurate,http://ofa.bo/aCdÂ,Russia,0.0,Neutral
528,Add your name: http://ofa.bo/hZaÂ,http://ofa.bo/hZaÂ,Russia,0.0,Neutral
456,Watch: Because of climate change the average U.S. wildfire season is longer and more intense.,U.S.,United States,0.1513,Positive
508,Power plants are responsible for about 40% of America's carbon pollution.,America,United States,0.3182,Positive
544,It's time to give America a raise.,America,United States,0.0,Neutral
494,LIVE: President Obama is speaking about the economy from Minneapolis.,Minneapolis,United States,0.0,Neutral
202,In the weekly address President Obama discusses his upcoming trip to Alaska and pledges to #ActOnClimate.http://ofa.bo/h9MkÂ,Alaska,United States,0.0,Neutral
273,Enforceable labor and environmental protections are just a couple of reasons why America needs to #LeadOnTrade.,America,United States,0.0,Neutral
808,FACT: Small businesses create two out of every three new jobs in the U.S. #SBW2013 ( @whitehouse),U.S.,United States,0.2732,Positive
260,America would have gone backwards.,America,United States,0.0,Neutral
590,Watch: In his weekly address President Obama calls on Congress to give America a raise.http://ofa.bo/t9SÂ,America,United States,0.0,Neutral
512,President Obama steps up to the plate at the @BaseballHall in Cooperstown for a speech at 3:30 p.m.,Cooperstown,United States,0.0,Neutral
463,Happening now: The President delivers a statement on the situation in Ukraine.,Ukraine,Ukraine,0.0,Neutral
899,"President Obama on Iran: ""We will do what is necessary to prevent them from getting a nuclear weapon.""",Iran,Iran,0.0258,Positive
62,President Obama has a message for America's workers todayâ€”check it out: http://ofa.bo/2c9zC6jÂ  #LaborDaypic.twitter.com/qzbHAfRXNs,America,United States,0.0,Neutral
232,In 1980 there were 500000 people behind bars in America ... Today there are 2.2 million.,America,United States,0.0,Neutral
200,President Obama is highlighting the effects of climate climate during his trip to Alaska.,Alaska,United States,0.0,Neutral
717,â€” @GinaEPA #ScienceSaysSo,@GinaEPA,None,0.0,Neutral
955,Iowa spread the word: Your polls close at 9pm CT and you can vote as long as you're in line by then.,Iowa,United States,0.0,Neutral
958,Ohio and North Carolina: Polls close at 7:30pm ET and you can vote as long as you're in line before then.,Ohio,United States,0.0,Neutral
875,In a few days Congress might allow a series of arbitrary budget cuts to take placeâ€”known in Washington as 'the sequester.,Washington,United States,-0.0772,Negative
239,The last seven yearsâ€”shoot the last seven daysâ€”should remind us there's nothing America cannot do.,America,United States,0.0,Neutral
849,"President Obama: ""Itâ€™s now been just over 100 days since the murder of 20 innocent children and 6 brave educators in Newtown.""",Newtown,United States,0.0258,Positive
72,Team USA reminds the world why America always sets the gold standard.,America,United States,0.0,Neutral
857,"Itâ€™s what America is all about.""",America,United States,0.0,Neutral
535,On average women in America make just 77 cents for every dollar a man makes.,America,United States,0.0,Neutral
438,America endures.,America,United States,0.0,Neutral
53,My heart goes out to the victims and their families in London.,London,United Kingdom,-0.3182,Negative
52,Americans will always stand shoulder to shoulder with the people of the UK.,UK,United Kingdom,0.0,Neutral
628,I believe this can be a breakthrough year for America.,America,United States,0.0,Neutral
910,â€œEveryone in Washington needs to focus not on politics but on whatâ€™s right for the countryâ€”on whatâ€™s right for you.â€�http://OFA.BO/daZF29Â,Washington,United States,0.0,Neutral
214,â€œThere is no scenario where sanctions relief turns Iran into the region's dominate power.â€� â€”President Obama #IranDeal,Iran,Iran,0.1027,Positive
364,We may not all be rooting for the Lions but America is rooting for Detroit.,Detroit,United States,0.0,Neutral
595,That's the essence of America.,America,United States,0.0,Neutral
164,Read the latest from Wisconsin: http://ofa.bo/j9UfÂ,Wisconsin,United States,0.0,Neutral
608,Watch: President Obama is urging Congress to give America a raise.,America,United States,0.0,Neutral
554,#GetCoveredNow http://ofa.bo/iQQÂ pic.twitter.com/nVaslxW6i1,http://ofa.bo/iQQÂ,Russia,0.0,Neutral
261,In America health care is not a privilege for the few but a right for all.,America,United States,0.1393,Positive
646,Give $5 or more and find out: http://ofa.bo/gDÂ,http://ofa.bo/gDÂ,Poland,0.0,Neutral
63,Obstructionâ€”especially when it comes to the Supreme Courtâ€”is nothing to be proud of @SenateMajLdr.,@SenateMajLdr,None,0.2607,Positive
2,And here are some ways to help cyclone victims in Mozambique Malawi and Zimbabwe:https://www.pbs.org/newshour/world/how-to-help-cyclone-victims-in-mozambique-malawi-and-zimbabweÂ â€¦,Zimbabwe,Zimbabwe,0.1027,Positive
581,I could not be prouder of the work you've done to help America get covered.,America,United States,0.0186,Positive
638,http://ofa.bo/hRÂ  #TBT #ThisIsWhy,http://ofa.bo/hRÂ,Iran,0.0,Neutral
138,ET to watch President Obama participate in a town hall in Baton Rouge Louisiana: http://ofa.bo/a5WDÂ,Baton Rouge,United States,0.0,Neutral
59,The U.S. is on track to hit two million solar installations within the next two years.,U.S.,United States,0.0,Neutral
941,President Obama is visiting Tiffany Santana's family in northern Virginia today.,Virginia,United States,0.0,Neutral
652,In his weekly address President Obama honors the memories of the children & educators lost one year ago in Newtown:http://OFA.BO/Xa5cL8Â,Newtown,United States,0.25,Positive
452,Happening now: The President delivers a statement on Iraq and the situation in #Ferguson.,Iraq,Iraq,0.0,Neutral
529,LIVE: President Obama is speaking at a firehouse in Oso Washington regarding the mudslide.,Oso Washington,United States,0.0,Neutral
615,WATCH: The President is speaking at @GeneralElectric in Waukesha Wisconsin.,Wisconsin,United States,0.0,Neutral
335,There are places and moments in America where this nationâ€™s destiny has been decided ... Selma is such a place.,America,United States,0.0,Neutral
139,LIVE: President Obama is speaking in Omaha about moving our country forward.,Omaha,United States,0.0,Neutral
731,An @OFA supporter recalls the 1963 March on Washington: http://OFA.BO/S8Zd6VÂ  #MLKDream50,Washington,United States,0.2732,Positive
77,http://ofa.bo/iATsÂ  #DoYourJob,http://ofa.bo/iATsÂ,Russia,0.0,Neutral
815,Don't miss @selcharrodeoro's encore performance of the national anthem at the #NBAFinals in San Antonio tonight.,San Antonio,United States,0.1139,Positive
513,Women in America need a fair shot.,America,United States,0.3182,Positive
686,40% of all carbon pollution in America comes from our power plants.,America,United States,0.0,Neutral
561,"New info from @GallupNews: ""U.S. Uninsured Rate Continues to Fall""http://ofa.bo/tDkÂ",U.S.,United States,0.0,Neutral
860,We should never forgetâ€”families in Newtown deserve a vote.,Newtown,United States,0.0,Neutral
464,"Former Ohio Governor @Ted_Strickland took the #LiveTheWage Challenge: ""I Tried to Live on Minimum Wage for a Week""http://ofa.bo/r0OUÂ",Ohio,United States,0.0772,Positive
668,Parents: Turkey isn't the only thing to talk about at Thanksgiving this year.,Turkey,Turkey,0.0,Neutral
8,And @SeforaKodjo is helping the next generation of women leaders in Africa rise up.,@SeforaKodjo,Central African Republic,0.29600000000000004,Positive
698,â€”President Obama on health reform in Mass.,Mass.,United States,0.0,Neutral
651,Big news: California is averaging 15000 signups in the marketplace per day.,California,United States,0.0,Neutral
764,Today President Obama speaks in Chattanooga about #ABetterBargain for the middle class.,Chattanooga,United States,0.0,Neutral
673,In cities across America the living wage has outpaced the federal minimum wage.,America,United States,0.0,Neutral
378,When the world calls on America we call on youâ€”our men and women in uniform.,America,United States,0.0,Neutral
841,If you want to know who we are what America is how we respond to evilâ€”thatâ€™s it.,America,United States,0.0772,Positive
707,An economic shutdown could cripple America's recovery.,America,United States,0.0,Neutral
420,These Fortune 500 companies are stepping up their commitment to fight climate change: http://ofa.bo/s0ywÂ  #ActOnClimate,http://ofa.bo/s0ywÂ,Russia,0.0,Neutral
728,Change does not come from Washington but to Washington.,Washington,United States,0.0,Neutral
328,We've already tripled wind energy in America but there's more we can do.,America,United States,0.1406,Positive
40,For all the bad news that seemed to dominate our collective consciousness there are countless stories from this year that remind us what's best about America.,America,United States,0.0516,Positive
480,We know it's what we should be doing and what drives me nuts is Washington isn't doing it.,Washington,United States,-0.3182,Negative
336,ET to watch President Obama speak in Selma Alabama: http://ofa.bo/c3HxÂ  #MarchOnpic.twitter.com/COHzBaUleZ,Selma Alabama:,United States,0.0,Neutral
379,LIVE: President Obama is in New Jersey thanking the troops for all they do for our country.,New Jersey,United States,0.0,Neutral
398,ICYMI: The United States has made a groundbreaking deal with China on cutting carbon pollution.,The United States,United States,0.3182,Positive
592,Meet Margaret: http://ofa.bo/h8pÂ  #ThisIsWhypic.twitter.com/nR8sxwzUoS,http://ofa.bo/h8pÂ,Russia,0.0,Neutral
142,On rooftops from Arizona to New York solar is saving Americans tens of millions of dollars a year.,New York,United States,0.0,Neutral
933,Photo of the day: President Obama gets caught in Spider-Man's web.pic.twitter.com/lDBWICTG,Spider-Man's,China,0.0,Neutral
664,This November U.S. manufacturing production grew at the fastest pace in 30 months according to @ISM: http://OFA.BO/TbyswdÂ,U.S.,United States,0.0,Neutral
383,The President will speak in Nashville at 3:25 p.m.,Nashville,United States,0.0,Neutral
326,ET to watch President Obama talk about middle-class economics in Cleveland Ohio.,Cleveland,United States,0.0,Neutral
545,You can give America the shaft or you can give it a raise.,America,United States,0.0,Neutral
797,Historic moment: On this day in 1964 former U.S. President Lyndon B. Johnson signed the Civil Rights Act into law.pic.twitter.com/0s04SkHpSG,U.S.,United States,0.0,Neutral
257,That's when America soarsâ€”when we look out for one another.,America,United States,0.0,Neutral
161,After years of effort by the U.S. nearly every country in the world came together to stand #UnitedOnClimate.http://ofa.bo/f9ZSÂ,U.S.,United States,0.0,Neutral
91,Tell him in person: http://ofa.bo/fABWÂ pic.twitter.com/F83AdfUC8H,http://ofa.bo/fABWÂ,Russia,0.0,Neutral
688,We now export more goods and services than ever beforeâ€”and that means more jobs right here in the U.S.A. â€”President Obama #MadeInAmerica,U.S.A.,United States,0.0,Neutral
446,LIVE: President Obama is speaking at the #ALConvention in Charlotte.,Charlotte,United States,0.0,Neutral
192,America doesn't need another shutdownâ€”members of Congress need to do their job and pass a budget.,America,United States,0.0,Neutral
885,Happening now: President Obama speaks in Chicago about his plan to strengthen the economy for the middle class.,Chicago,United States,0.3182,Positive
683,Our thoughts and prayers continue to be with the people of the Philippines.,Philippines,Philippines,0.0,Neutral
708,America is just days away from an economic shutdown if Congress doesn't do its job.,America,United States,0.0,Neutral
527,Itâ€™s time to give America a raise.,America,United States,0.0,Neutral
645,Don't leave your name off: http://ofa.bo/bCÂ pic.twitter.com/HSzUswSwZw,http://ofa.bo/bCÂ,Russia,0.0382,Positive
377,Today is your last chance to enroll for health coverage that starts New Year's Day: http://ofa.bo/e1wGÂ,http://ofa.bo/e1wGÂ,Russia,0.25,Positive
102,Show your support for the proposal to expand paid sick leaveâ€”add a comment today: http://ofa.bo/hACxÂ  #LeadOnLeave,http://ofa.bo/hACxÂ,Russia,0.1779,Positive
231,For $80 billion we could double the salary of every high school teacher in America.,America,United States,0.0,Neutral
639,Rosetta from Missouri is covered.,Missouri,United States,0.0,Neutral
176,Under #Obamacare the uninsured rate in the United States is at the lowest level on record.pic.twitter.com/JclMvADTnN,the United States,United States,0.0516,Positive
635,In America helping those who have fallen on tough times isn't a tough call.,America,United States,-0.3182,Negative
220,It was diplomacy that ratcheted up the pressure on Iran.,Iran,Iran,-0.29600000000000004,Negative
6,Michelle and I send our deepest sympathies to all who knew the victims of todayâ€™s plane crash in Ethiopia.,Ethiopia,Ethiopia,-0.6124,Negative
12,In the year since their friends were killed the students of Parkland refused to settle for the way things are and marched organized and pushed for the way things should be - helping pass meaningful new gun violence laws in states across the country.,Parkland,United States,-0.765,Negative
22,We grieve for the Americans murdered in Pittsburgh.,Pittsburgh,United States,-0.7906,Negative
28,There are few issues more important to the security of the US than the potential spread of nuclear weapons or the potential for even more destructive war in the Middle East.,US,United States,-0.835,Negative
35,We are grieving with Parkland.,Parkland,United States,-0.5106,Negative
43,Michelle and I are thinking of the victims of today's attack in NYC and everyone who keeps us safe.,us,United States,-0.3612,Negative
51,Our hearts go out to those killed and wounded in Manchester.,Manchester,United Kingdom,-0.6705,Negative
64,Say you'll continue the fight to make gender equality a reality in America: http://ofa.bo/2cfsWE1Â  #WomensEqualityDay,America,United States,-0.3818,Negative
67,America's leadership in the fight against climate change pays off in more ways than one.,America,United States,-0.3818,Negative
69,There's no doubt that America has become a global leader in the fight against climate change.,America,United States,-0.743,Negative
75,Wildfire seasons are getting longer more dangerous and more expensive.,Wildfire,None,-0.5256,Negative
78,President Obama is delivering remarks at an interfaith memorial service for the fallen police officers in Dallas.,Dallas,United States,-0.3612,Negative
79,ET President Obama will be speaking at a memorial service for the fallen police officers in Dallas.,Dallas,United States,-0.3612,Negative
87,Gun violence takes far too many lives in America.,America,United States,-0.7579,Negative
133,Because of American diplomacy all of Iran's pathways to a nuclear weapon have been blocked.,Iran,Iran,-0.5106,Negative
153,LIVE: President Obama is talking about how to make our communities safer by reducing gun violence in America.,America,United States,-0.5719,Negative
165,Here in America itâ€™s way too easy for dangerous people to get their hands on a gun.,America,United States,-0.3818,Negative
166,WATCH: President Obama offers his condolences to the San Bernardino community and calls for common-sense gun laws.http://ofa.bo/h9f9Â,San Bernardino,United States,-0.34,Negative
174,Shipping crude oil into our country would not increase America's energy security.,America,United States,-0.6219,Negative
175,Working hard in America shouldn't mean choosing between a paycheck and a sick kid at home.,America,United States,-0.5719,Negative
178,America's mayors are calling for Congress to #DoSomething about gun violence.http://ofa.bo/q9OwÂ,America,United States,-0.34,Negative
181,LIVE: President Obama is in West Virginia hosting a community discussion on drug abuse.,West Virginia,United States,-0.6369,Negative
182,The United States is home to 5% of the worldâ€™s population but 25% of the worldâ€™s prisoners.,The United States,United States,-0.5499,Negative
185,Add your name if you agree it's time for Congress to #DoSomething about gun violence in America.,America,United States,-0.6124,Negative
187,More than 10000 people die from gun violence in the U.S. each yearâ€”that can change.,U.S.,United States,-0.8859999999999999,Negative
212,"When we carefully examine the arguments against this deal none of them stand up to scrutiny.â€� â€”President Obama #IranDeal,https://twitter.com/BarackObama/status/628971616651776000,385,933,
2015/08/05_09:49,https://twitter.com/BarackObama,If Iran violates this deal we will have ample opportunity to respond.""",Iran,Iran,-0.4019,Negative
213,We will continue to have sanctions in place on Iran's support for terrorism and violation of human rights.â€”President Obama #IranDeal,Iran,Iran,-0.7269,Negative
215,The bottom line is if Iran cheats we can catch themâ€”and we will.,Iran,Iran,-0.4215,Negative
230,For the first time in 40 years America's crime rate and incarceration rate went down at the same time.,America,United States,-0.5423,Negative
233,The United States is home to 5 percent of the world's population but 25 percent of the world's prisoners.,The United States,United States,-0.5499,Negative
241,The uninsured rate in America is now the lowest on record.,America,United States,-0.3818,Negative
247,Help break the silence on gun violence in America.,America,United States,-0.5859,Negative
249,Add your name if you agree that it's time to stand up and do something about gun violence in America: http://ofa.bo/r8f7Â,America,United States,-0.6124,Negative
319,It's the end of discrimination against the sick in America.,America,United States,-0.5106,Negative
405,Nobody who works full time in America should be raising their kids below the poverty line.,America,United States,-0.5106,Negative
414,Let's agree that no one who works full time in America should ever have to work in poverty.,America,United States,-0.4588,Negative
439,Thirteen years after small and hateful minds conspired to break us America stands tall.,America,United States,-0.4939,Negative
440,Congress heads back to Washington this weekâ€”now is not the time to be cynical about what they can accomplish.pic.twitter.com/rUSFuU59UZ,Washington,United States,-0.3818,Negative
442,Congress is heading back to Washington next week: Refuse to be cynical about what they can get done.pic.twitter.com/aZWuEnOO2z,Washington,United States,-0.5859,Negative
444,In America no one who works full-time should ever have to raise a family in poverty.,America,United States,-0.6705,Negative
470,Climate change poses a direct threat to the infrastructure of America.,America,United States,-0.5267,Negative
510,That's wrong: http://ofa.bo/ti4Â  #PeopleOverPolitics,http://ofa.bo/ti4Â,Russia,-0.4767,Negative
522,Watch: @WValderrama dreamed big when he moved to the U.S. Now he's fighting for immigration reform so others can too:http://ofa.bo/qeIÂ,U.S.,United States,-0.3612,Negative
523,Right now in America full-time workers are living below the poverty line.,America,United States,-0.5106,Negative
543,America is a place for everybodyâ€”that's what we're fighting for.,America,United States,-0.3612,Negative
547,We just went through the first month since 2003 where no U.S. soldier was killed in either Afghanistan or Iraq.,U.S.,United States,-0.7717,Negative
