,date,text,GPE
59,2019/02/13_19:10,Congrats to all the men and women of @NASA on a @MarsRovers mission that beat all expectations inspired a new generation of Americans and demands we keep investing in science that pushes the boundaries of human knowledge.,[]
60,2019/02/12_17:18,Happy 85th birthday to @RealBillRussell - the greatest champion in American sports and a lifelong warrior for justice.,[]
61,2019/02/07_20:04,My statement on the passing of former Congressman John Dingell:pic.twitter.com/gjBYHHImzB,[]
62,2019/02/07_20:03,We lost two great Americans today â€“ Frank Robinson and John Dingell â€“ citizens who inspired me and so many others by leading on the civil rights issues of our time opening doors to others and leaving it all on the field.,[]
63,2019/02/01_08:08,As we celebrate Black History Month and Jackie Robinsonâ€™s 100th birthday we celebrate the life of all whose courage opened the gates for everybody and in the process made America better.pic.twitter.com/Fl9aDxqcGi,['America']
64,2019/01/25_10:18,The @ObamaFoundation is connecting people from around the world so they can form partnerships just like this.,[]
65,2019/01/25_10:18,I am inspired by Robert and Vanessa and whatâ€™s possible when leaders come together to have an even greater impact on the world.https://twitter.com/ObamaFoundation/status/1088839648665833472Â â€¦,[]
66,2019/01/21_08:14,"Iâ€™ve always drawn inspiration from what Dr. King called lifeâ€™s most persistent and urgent question: ""What are you doing for others?""",[]
67,2019/01/21_08:14,Letâ€™s honor his legacy by standing up for what is right in our communities and taking steps to make a positive impact on the world.,[]
68,2019/01/17_07:02,I knew it way back then and Iâ€™m absolutely convinced of it today â€” youâ€™re one of a kind @MichelleObama.,[]
69,2019/01/17_07:02,Happy Birthday!pic.twitter.com/ejqm0uC9J4,[]
70,2019/01/01_08:19,In 2018 people stepped up and showed up like never before.,[]
71,2019/01/01_08:19,Keep it up in 2019.,[]
72,2019/01/01_08:19,Weâ€™ve got a lot of work to do and Iâ€™ll be right there with you.,[]
73,2019/01/01_08:19,Happy New Year everybody!,[]
74,2018/12/29_08:15,I hope you find inspiration in the stories of Dejah Moussa Sandor Hong and Jonny.,[]
75,2018/12/29_08:15,Their journeys began with a decision to build the better future they wanted to see.,[]
76,2018/12/29_08:15,The same is true for you.,[]
77,2018/12/29_08:15,What matters isnâ€™t the size of the step you take; what matters is that you take it.,[]
78,2018/12/29_08:15,Leaders like Jonny Boucher a Chicago native who after losing too many friends and family to suicide started a coffee shop to offer emotional support and guidance to those who might be in need of a little more than a strong cup of coffee to get through their day.pic.twitter.com/H6XPceR6d9,['Chicago']
79,2018/12/29_08:15,Leaders like Hong Hoang who mobilized a youth-led movement to create a greener world after becoming the first Vietnamese person to visit Antarctica.Â https://www.obama.org/photo-essay-hoang/Â â€¦,[]
80,2018/12/29_08:15,Leaders like Moussa Kondo and Sandor Lederer who are each doing their part to fight corruption in their native countries of Mali and Hungary.,['Hungary']
81,2018/12/29_08:15,Two people separated by continents but united in their pursuit of a more just transparent society.https://www.obama.org/fellowship/moussa-kondo-sandor-lederer/Â â€¦,[]
82,2018/12/29_08:15,Leaders like Dejah Powell who started an organization to bring health and wellness resources to communities on the South Side of Chicago expanding food access and providing people the space and time to take care of themselves.pic.twitter.com/tPW7NxTGLO,['Chicago']
83,2018/12/29_08:15,As the year winds down and we look toward 2019 Iâ€™m asking you to make a commitment: find something you want to change in your community and take the first step toward changing it.,[]
84,2018/12/29_08:15,If you need some inspiration take a look at some of the young leaders who inspired me this year.,[]
85,2018/12/28_06:34,As 2018 draws to a close Iâ€™m continuing the tradition of sharing my year-end lists.,[]
86,2018/12/28_06:34,It gives me a moment to reflect on the year through the books movies and music that I found most thought-provoking inspiring or just plain loved.,[]
87,2018/12/28_06:34,I hope you enjoy it: https://www.facebook.com/barackobama/posts/10156393283416749Â â€¦,[]
88,2018/12/25_06:14,Enjoy the holiday season with the ones you love.,[]
89,2018/12/25_06:14,Michelle and I wish you a very Merry Christmas!pic.twitter.com/LKLqlYfFUw,[]
90,2018/12/20_12:55,Thereâ€™s no better time than the holidays to give back to your community.,[]
91,2018/12/20_12:55,Yesterday I got to do just that at @ChildrensHealth.,[]
92,2018/12/20_12:55,As we celebrate the season and look forward to 2019 letâ€™s recommit to doing our part to build a world that is a little more generous tolerant and kind.https://twitter.com/ObamaFoundation/status/1075852828118269952Â â€¦,[]
93,2018/12/19_13:48,Merry Christmas and happy holidays to the extraordinary kids families and staff at Childrenâ€™s National.,[]
94,2018/12/19_13:48,And thanks for humoring me as your stand-in Santa.https://twitter.com/childrenshealth/status/1075507032537620480Â â€¦,[]
95,2018/12/15_13:15,Today is the last day of open enrollment.,[]
96,2018/12/15_13:15,That means itâ€™s the deadline to make sure you and the people you love have health insurance in 2019.,[]
97,2018/12/15_13:15,So head over to http://HealthCare.govÂ  to get covered!,[]
98,2018/12/15_13:15,Hereâ€™s what else you need to know today about health care:pic.twitter.com/gosn6c6uCa,[]
99,2018/12/14_16:58,Joe is right.,[]
100,2018/12/14_16:58,Head to http://healthcare.govÂ  before tomorrowâ€™s deadline.,[]
101,2018/12/14_16:58,And nice bracelet by the way.https://twitter.com/JoeBiden/status/1073716529336860673Â â€¦,[]
102,2018/12/12_20:15,As Bobby Kennedy taught us the thing about hope is that it travels through space *and* time first splashing against the rocks but eventually breaking down the walls of cruelty and injustice.,[]
103,2018/12/12_20:15,And if we do our best with the time weâ€™re given others will take hope in our example.https://twitter.com/RFKHumanRights/status/1073054288400801792Â â€¦,[]
104,2018/12/10_07:40,No jump shots.,[]
105,2018/12/10_07:40,No ferns.,[]
106,2018/12/10_07:40,No memes.,[]
107,2018/12/10_07:40,Not this time.,[]
108,2018/12/10_07:40,Iâ€™m going to give it to you straight: If you need health insurance for 2019 the deadline to get covered is December 15.,[]
109,2018/12/10_07:40,Go to http://HealthCare.govÂ  today and pass this on â€” you just might save a life.pic.twitter.com/8mHMsXGY0g,[]
110,2018/12/02_14:09,Happy Hanukkah!,[]
111,2018/12/02_14:09,Over these eight nights we draw inspiration from light that can overpower any darkness and recommit ourselves to building a brighter future for our families our communities and our world.,[]
112,2018/12/02_14:09,Chag Sameach from the Obama family to yours.,[]
113,2018/11/30_21:36,America has lost a patriot and humble servant in George Herbert Walker Bush.,['America']
114,2018/11/30_21:36,While our hearts are heavy today they are also filled with gratitude.,[]
115,2018/11/30_21:36,Our thoughts are with the entire Bush family tonight â€“ and all who were inspired by George and Barbaraâ€™s example.pic.twitter.com/g9OUPu2pjY,[]
116,2018/11/21_10:57,I am grateful for the next generation of leaders -- the young people who are tolerant creative idealistic and doing the work to create the world as it should be.,[]
117,2018/11/21_10:57,Who understand that hope requires action.,[]
118,2018/11/21_10:57,From the Obama family to yours Happy Thanksgiving.https://twitter.com/ObamaFoundation/status/1065309361906561025Â â€¦,[]
119,2018/11/20_17:37,Thanks to the Chicago @FoodDepository team for all you do and to the volunteers who are doing great work and let me crash today.,['Chicago']
120,2018/11/20_17:37,Happy Thanksgiving everybody!https://twitter.com/FoodDepository/status/1065001878352740353Â â€¦,[]
121,2018/11/18_15:32,When someone shares their story we see the world through their eyes.,[]
122,2018/11/18_15:32,Iâ€™m looking forward to hearing a few from leaders around the world and sharing my own at the @ObamaFoundation Summit in Chicago.,['Chicago']
123,2018/11/18_15:32,Tune in at http://Obama.orgÂ .pic.twitter.com/sOllDsDA1Z,[]
124,2018/11/15_08:43,Our future depends on all our young people including our boys and young men of color being able to achieve their dreams.,[]
125,2018/11/15_08:43,Today Iâ€™m proud to share @MBK_Allianceâ€™s first investments in communities devoted to this mission.,[]
126,2018/11/15_08:43,Get inspired:http://obama.org/MBKA/communitiesÂ â€¦,[]
127,2018/11/13_10:37,Of course @MichelleObamaâ€™s my wife so Iâ€™m a little biased here.,[]
128,2018/11/13_10:37,But she also happens to be brilliant funny wise â€“ one of a kind.,[]
129,2018/11/13_10:37,This book tells her quintessentially American story.,[]
130,2018/11/13_10:37,I love it because it faithfully reflects the woman I have loved for so long.pic.twitter.com/X0i9jja4TE,[]
131,2018/11/11_19:20,Michelle and I are heartbroken for everybody whoâ€™s lost so much in California and grateful for the heroism of the firefighters whoâ€™ve been risking their lives around the clock to save others.,['California']
132,2018/11/11_19:20,Please do what you can to help our fellow Americans in need:https://nyti.ms/2DdQB3cÂ,[]
133,2018/11/11_08:14,To all our veterans and your families: thank you.,[]
134,2018/11/11_08:14,There's no tribute that can truly match the magnitude of your service and sacrifice.,[]
135,2018/11/11_08:14,But all of us can do our best to live up to the American values of service responsibility generosity and citizenship that you helped defend.,[]
136,2018/11/07_08:13,Congratulations to everybody who showed up and participated in our democracy in record numbers yesterday.,[]
137,2018/11/07_08:13,The change we need wonâ€™t come from one election alone â€“ but it is a start.,[]
138,2018/11/07_08:13,Last night voters across the country started it.pic.twitter.com/gNk4WkeJUn,[]
139,2018/11/06_08:26,Today is the day.,[]
140,2018/11/06_08:26,Today itâ€™s your turn to raise your voice to change the course of this country for the better.,[]
141,2018/11/06_08:26,So make it count.,[]
142,2018/11/06_08:26,Get out there and vote.,[]
143,2018/11/06_08:26,Go to http://IWillVote.comÂ  or call 833-336-VOTE to confirm where you can vote and check voting hours.pic.twitter.com/6xdMbKhwkr,['http://IWillVote.comÂ\xa0 ']
144,2018/11/05_10:46,If you take that power and vote something powerful happens.,[]
145,2018/11/05_10:46,Change happens.,[]
146,2018/11/05_10:46,Hope happens.,[]
147,2018/11/05_10:46,And with each new step we take in the direction of fairness and justice and equality and opportunity hope spreads.,[]
148,2018/11/05_10:46,Go vote!http://IWillVote.comÂ,[]
149,2018/11/05_10:46,When you vote you have the power to make it easier for a student to afford college and harder for a disturbed person to shoot up a classroom.,[]
150,2018/11/05_10:46,When you vote you have the power to make sure a family keeps its health insurance.,[]
151,2018/11/05_10:46,When you vote you have the power to protect voting rights.,[]
152,2018/11/05_10:46,To make sure our criminal justice system treats everyone equally under the law.,[]
153,2018/11/05_10:46,To strengthen laws that protect women in the workplace from harassment â€“ and make sure theyâ€™re paid equally.,[]
154,2018/11/05_10:46,When we've been at such crossroads before Americans have made the right choice.,[]
155,2018/11/05_10:46,Not because we sat back and waited for history to happen -- but because we marched and mobilized and voted.,[]
156,2018/11/05_10:46,We made history happen.,[]
157,2018/11/05_10:46,Tomorrowâ€™s elections might be the most important of our lifetimes.,[]
158,2018/11/05_10:46,The health care of millions is on the ballot.,[]
159,2018/11/05_10:46,Making sure working families get a fair shake is on the ballot.,[]
160,2018/11/05_10:46,The character of our country is on the ballot.,[]
161,2018/11/01_14:20,Speaking of preexisting conditions open enrollment starts today.,[]
162,2018/11/01_14:20,If you or someone you know needs health care visit http://HealthCare.govÂ .,[]
163,2018/11/01_14:20,Thanks to financial help most people can find plans for $75/month or less so check out your options and find a plan that works for you.pic.twitter.com/R52X9sgkbP,[]
164,2018/11/01_11:32,Elections matter.,[]
165,2018/11/01_11:32,You have the power to protect a familyâ€™s health care.,[]
166,2018/11/01_11:32,Make a plan grab some friends and vote: https://iwillvote.comÂ,[]
167,2018/11/01_11:32,While we're talking about preexisting conditions the ACA is the law that finally protected your coverage for preexisting conditions.,[]
168,2018/11/01_11:32,Those protections and your health care are absolutely at stake on Tuesday.,[]
169,2018/11/01_11:32,Vote for Democrats whoâ€™ll protect them.https://www.thecut.com/2018/10/republicans-dont-protect-preexisting-conditions.htmlÂ â€¦,[]
170,2018/10/31_11:20,Not sure who and what you can vote for?,[]
171,2018/10/31_11:20,Head over to http://votesaveamerica.com/ballotÂ  to look up your state learn who's running to represent you which measures you can help decide and more.,[]
172,2018/10/31_11:20,Read up and get ready to vote on November 6.,[]
173,2018/10/30_08:44,Your vote can decide the health care of millions.,[]
174,2018/10/30_08:44,Your voice can determine the character of our country.,[]
175,2018/10/30_08:44,You have power â€” use it!,[]
176,2018/10/30_08:44,In most states you don't even have to wait until Election Day to cast a ballot.,[]
177,2018/10/30_08:44,Find out where you can vote before Nov. 6: http://IWillVote.comÂ pic.twitter.com/hWkFHqi49K,[]
178,2018/10/27_14:54,We grieve for the Americans murdered in Pittsburgh.,['Pittsburgh']
179,2018/10/27_14:54,All of us have to fight the rise of anti-Semitism and hateful rhetoric against those who look love or pray differently.,[]
180,2018/10/27_14:54,And we have to stop making it so easy for those who want to harm the innocent to get their hands on a gun.,[]
181,2018/10/17_10:21,The last presidential election turned on fewer than 100000 votes in three states.,[]
182,2018/10/17_10:21,More people go to Coachella.,[]
183,2018/10/17_10:21,Thereâ€™s no good excuse not to vote.,[]
184,2018/10/17_10:21,Head over to http://Vote.orgÂ  to check your registration get your absentee ballot and find out where to vote on November 6.https://twitter.com/attn/status/1052577837968846848Â â€¦,[]
185,2018/10/11_18:51,America is always at our best when we look out for each other.,['America']
186,2018/10/11_18:51,Please do what you can to help people recover and rebuild from Hurricane Michael.https://www.charitynavigator.org/index.cfm?bay=content.view&cpid=6806Â â€¦,[]
187,2018/10/11_07:01,Iâ€™m so proud of the work @MichelleObama has done over the years to ensure adolescent girls have access to education and I know that the @GirlsAlliance will be another great chapter in her effort to get girls the opportunities they deserve.https://twitter.com/girlsalliance/status/1050358965702414336Â â€¦,[]
188,2018/10/08_20:47,Congratulations to Drew Brees on the all time passing record.,[]
189,2018/10/08_20:47,Always a class act.,[]
190,2018/10/03_12:08,Happy Anniversary @MichelleObama.,[]
191,2018/10/03_12:08,For 26 years youâ€™ve been an extraordinary partner someone who can always make me laugh and my favorite person to see the world with.pic.twitter.com/s8xoZ9j2YR,[]
192,2018/10/01_09:46,Today Iâ€™m proud to endorse even more Democratic candidates who arenâ€™t just running against something but for somethingâ€”to expand opportunity for all of us and to restore dignity honor and compassion to public service.,[]
193,2018/10/01_09:46,They deserve your vote:pic.twitter.com/NO5jnhX3XD,[]
194,2018/09/29_09:29,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change.,['Amsterdam']
195,2018/09/29_09:29,And they keep at it for their communities their countries and the collective future of Europe and the world.,[]
196,2018/09/29_09:29,Keep up the good work.pic.twitter.com/AVtuBPHdr2,[]
197,2018/09/25_13:49,The antidote to government by a powerful few is government by the organized energized many.,[]
198,2018/09/25_13:49,This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6.,[]
199,2018/09/25_13:49,This moment is too important to sit out.,[]
200,2018/09/14_09:20,The first class of Obama Fellows is full of leaders like Keithâ€”hardworking innovative and dedicated to partnering with their communities to drive transformational change.https://twitter.com/ObamaFoundation/status/1040634794764320773Â â€¦,[]
201,2018/09/11_06:52,We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together.,[]
202,2018/09/11_06:52,There's nothing our resilience and resolve canâ€™t overcome and no act of terror can ever change who we are.,[]
203,2018/09/07_08:08,Today Iâ€™m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it.,[]
204,2018/09/07_08:08,I hope you'll tune in at 11am CT: http://go.illinois.edu/liveÂ,[]
205,2018/08/29_12:54,Yesterday I met with high school students on Chicagoâ€™s Southwest side who spent the summer learning to code some pretty cool apps.,[]
206,2018/08/29_12:54,Michelle and I are proud to support programs that invest in local youth and weâ€™re proud of these young people.pic.twitter.com/dQnDgswCj5,[]
207,2018/08/26_14:40,Congratulations to Hawaii for winning the Little League World Series!,['Hawaii']
208,2018/08/26_14:40,You make America very proud.,['America']
209,2018/08/26_14:40,https://twitter.com/LittleLeague/status/1033829386116640773Â â€¦,[]
210,2018/08/25_18:09,Our statement on the passing of Senator John McCain:pic.twitter.com/3GBjNYxoj5,[]
211,2018/08/16_09:31,Aretha helped define the American experience.,[]
212,2018/08/16_09:31,In her voice we could feel our history all of it and in every shadeâ€”our power and our pain our darkness and our light our quest for redemption and our hard-won respect.,[]
213,2018/08/16_09:31,May the Queen of Soul rest in eternal peace.pic.twitter.com/bfASqKlLc5,[]
214,2018/08/06_07:53,Bobby Kennedy was one of my heroes.,[]
215,2018/08/06_07:53,He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the â€œmillion different centers of energy and daringâ€� that ultimately combine to change the world for the better.https://twitter.com/RFKHumanRights/status/1026456623311716354Â â€¦,[]
216,2018/08/01_09:20,Iâ€™m confident that together theyâ€™ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law.,[]
217,2018/08/01_09:20,But first they need our votes.,[]
218,2018/08/01_09:20,Today Iâ€™m proud to endorse such a wide and impressive array of Democratic candidates â€“ leaders as diverse patriotic and big-hearted as the America theyâ€™re running to represent:pic.twitter.com/gWzalQhFas,[]
219,2018/07/18_09:19,Mandela Day is about taking action to change the world for the better.,[]
220,2018/07/18_09:19,In these young people I see Madiba's example of persistence and hope.,[]
221,2018/07/18_09:19,They are poised to make this world more peaceful more prosperous and more just.pic.twitter.com/GJDuOs1hkH,[]
222,2018/07/13_06:42,This week Iâ€™m traveling to Africa for the first time since I left office â€“ a continent of wonderful diversity thriving culture and remarkable stories.,[]
223,2018/07/13_06:42,As I prepare for this trip I wanted to share a list of books that Iâ€™d recommend for summer reading: https://www.facebook.com/barackobama/posts/10156007456406749Â â€¦,[]
224,2018/06/12_08:09,Congratulations to the @Capitals!,[]
225,2018/06/12_08:09,This @NHLBlackhawks fan knows what itâ€™s like to lift that cup â€“ and Iâ€™m happy for all the Caps fans who cheer so hard for their team and for a team that celebrates so hard with its fans.,[]
226,2018/06/08_09:01,â€œLow plastic stool cheap but delicious noodles cold Hanoi beer.â€� This is how Iâ€™ll remember Tony.,['Hanoi']
227,2018/06/08_09:01,He taught us about food â€” but more importantly about its ability to bring us together.,[]
228,2018/06/08_09:01,To make us a little less afraid of the unknown.,[]
229,2018/06/08_09:01,Weâ€™ll miss him.pic.twitter.com/orEXIaEMZM,[]
230,2018/06/01_08:33,This National Gun Violence Awareness Day show your commitment to keeping our kids safe from gun violence.,[]
231,2018/06/01_08:33,Then for everyone weâ€™ve lost take action to change our leadership and our laws until they reflect that commitment - no matter how long it takes.https://twitter.com/ofa/status/1002554110519009280Â â€¦,[]
232,2018/05/28_09:02,We can never truly repay the debt we owe our fallen heroes.,[]
233,2018/05/28_09:02,But we can remember them honor their sacrifice and affirm in our own lives those enduring ideals of justice equality and opportunity for which generations of Americans have given that last full measure of devotion.pic.twitter.com/pRxwmaMClL,[]
234,2018/05/23_13:40,This Center is for the leaders of tomorrow who are ready to step up and build the world as it should be.,[]
235,2018/05/23_13:40,Michelle and I are grateful to Chicagoans and the Chicago City Council for making it happen.http://www.chicagotribune.com/news/obamacenter/ct-met-city-council-obama-pres-dential-center-20180523-story.htmlÂ â€¦,[]
236,2018/05/13_07:32,Happy Motherâ€™s Day to every mom out there especially the remarkable moms in my life @MichelleObama and my mother-in-law Marian Robinson.pic.twitter.com/n65fyWg7O8,[]
237,2018/05/08_12:40,There are few issues more important to the security of the US than the potential spread of nuclear weapons or the potential for even more destructive war in the Middle East.,['US']
238,2018/05/08_12:40,Todayâ€™s decision to put the JCPOA at risk is a serious mistake.,[]
239,2018/05/08_12:40,My full statement: https://www.facebook.com/barackobama/posts/10155854913976749Â â€¦,[]
240,2018/04/23_12:13,These talented young people will create a better future not just in Africa but around the world.,[]
241,2018/04/23_12:13,I canâ€™t wait to spend some time with @ObamaFoundation Leaders and look forward to honoring the Mandela legacy in Johannesburg this summer.https://twitter.com/obamafoundation/status/988475935463759878Â â€¦,['Johannesburg']
242,2018/04/17_17:44,Our statement on the passing of Former First Lady Barbara Bush:pic.twitter.com/MhTVYCL9Nj,[]
243,2018/03/25_08:34,Incredible to have a Chicago team in the Final Four.,['Chicago']
244,2018/03/25_08:34,Iâ€™ll take that over an intact bracket any day!,[]
245,2018/03/25_08:34,Congratulations to everybody @LoyolaChicago - letâ€™s keep it going!,['@LoyolaChicago']
246,2018/03/24_10:07,Michelle and I are so inspired by all the young people who made todayâ€™s marches happen.,[]
247,2018/03/24_10:07,Keep at it.,[]
248,2018/03/24_10:07,Youâ€™re leading us forward.,[]
249,2018/03/24_10:07,Nothing can stand in the way of millions of voices calling for change.,[]
250,2018/03/19_14:48,Our most important task as a nation is to make sure all our young people can achieve their dreams.,[]
251,2018/03/19_14:48,Weâ€™ve started this work with @MBK_Alliance but thereâ€™s so much more all of us have to doâ€”government private sector academia & community leadersâ€”to change the odds for our kids.https://twitter.com/upshotnyt/status/975774912764882946Â â€¦,[]
252,2018/03/19_08:10,In Singapore with young people who are advocating for education empowering young women and getting involved all over Southeast Asia with a profoundly optimistic commitment to building the world they want to see.https://twitter.com/ganeshmuren/status/975711729609920512Â â€¦,['Singapore']
253,2018/03/15_17:22,41: I like the competition.,[]
254,2018/03/15_17:22,And the loyalty to the home team.,[]
255,2018/03/15_17:22,- 44https://twitter.com/georgehwbush/status/974345353322483713Â â€¦,[]
256,2018/03/15_16:16,Congrats to @LoyolaChicago and Sister Jean for a last-second upset - I had faith in my pick!,['@LoyolaChicago']
