,text,gpe,country,score,classified
3792,Thank you- Appleton Wisconsin!#WIPrimary #Trump2016 https://t.co/XkbTWHpEvy https://t.co/klUNUV2J5S,https://t.co/XkbTWHpEvy,Colombia,0.4199,Positive
2144,I will be heading to Dubai where I am doing a GREAT project with Damac - will be a massive success!,Dubai,United Arab Emirates,0.8697,Positive
9787,RT @ChadPergram: Zeldin to Kent: Do you have any firsthand knowledge of United States aid to Ukraine ever being connected to the opening of…,Ukraine,Ukraine,0.4215,Positive
9144,....His dedication to Israel and to seeking peace between Israel and the Palestinians won’t be forgotten.,Israel,Israel,0.3818,Positive
10204,RT @SenCoryGardner: I hope the latest events have made it clear to Iran that the United States will never back down from protecting our peo…,Iran,Iran,0.8074,Positive
2499,Wow China exports rise 15% in September.,China,China,0.5859,Positive
7476,If Nancy Pelosi thinks that Walls are “immoral” why isn’t she requesting that we take down all of the existing Walls between the U.S. and Mexico even the new ones just built in San Diego at their very strong urging.,Mexico,Mexico,0.5563,Positive
8372,While I very much appreciate P.M. Abe going to Iran to meet with Ayatollah Ali Khamenei I personally feel that it is too soon to even think about making a deal.,Iran,Iran,0.4549,Positive
6827,RT @FLOTUS: Thank you Egypt ????,Egypt,Egypt,0.5362,Positive
25,Scotland is beautiful and Trump Internatonal Golf Links-Scotland is progressing beautifully as well.,Scotland,United Kingdom,0.8658,Positive
7767,On this Vietnam War Veterans Day we celebrate the brave Vietnam Veterans and all of America’s Veterans.,Vietnam,Vietnam,0.4939,Positive
7285,A solution for North Korea is a great thing for China and ALL!,China,China,0.7712,Positive
6949,Discussed many topics including the very exciting upcoming visit to Paris where @FLOTUS Melania and I will attend the Armistice Day Centennial Commemoration!,Paris,France,0.5838,Positive
8543,After a wonderful dinner at the @USTreasury last night with the Amir of Qatar @TamimBinHamad it was my great honor to welcome him to the @WhiteHouse this afternoon!,Qatar,Qatar,0.9359,Positive
46,Every dollar @BarackObama spends costs $1.40 with interest borrowed from China on our children and grandchildren's backs.,China,China,0.4215,Positive
2726,If Saudi Arabia which has been making one billion dollars a day from oil wants our help and protection they must pay dearly!,Saudi Arabia,Saudi Arabia,0.6588,Positive
8363,I just met with the Queen of England (U.K.) the Prince of Whales the P.M. of the United Kingdom the P.M. of Ireland the President of France and the President of Poland.,France,France,0.4215,Positive
6749,It was my great honor to welcome and meet with President @moonriver365 Jae-in of South Korea today in New York City!,South Korea,South Korea,0.8908,Positive
6125,Great day of meetings with Prime Minister @AbeShinzo of Japan!,Japan,Japan,0.6588,Positive
1143,@candicebazuin @BravoAndy @GiulianaRancic  They were both terrific!,@GiulianaRancic,Croatia,0.5255,Positive
1644,Putin is laughing at Obama.,Obama,Japan,0.4939,Positive
1227,@DaraghRohan  Happy Birthday and good luck!,@DaraghRohan,Iran,0.8718,Positive
5400,Good discussions on Syria.,Syria,Syria,0.4404,Positive
5842,Russia needs us to help with their economy something that would be very easy to do and we need all nations to work together.,Russia,Russia,0.7089,Positive
3173,What’s he giving to Germany?,Germany,Germany,0.34,Positive
6630,Kim Jong Un of North Korea proclaims “unwavering faith in President Trump.” Thank you to Chairman Kim.,North Korea,North Korea,0.6486,Positive
1477,@Lord_Sugar can't hold a.candle to Donald.Trump - he is a laughing stock in Great Britain (but his show pays me lots of money so I'm happy),Great Britain,United Kingdom,0.8074,Positive
9911,Enjoyed my meeting with Prime Minister @BorisJohnson of the United Kingdom at @10DowningStreet last night.,the United Kingdom,United Kingdom,0.7269,Positive
1507,Congratulations to Aberdeen and Scotland for just having our great golf course named Best New Course In World by The Robb Report.,Aberdeen,United Kingdom,0.9217,Positive
10624,adults have confidence in their government’s ability to handle the Coronavirus (Number One) compared to other health threats.” 64% for Zika 58% for Ebola.,Zika,Czech Republic,0.6808,Positive
1056,The people of Scotland love Trump International Golf Links.,Scotland,United Kingdom,0.6369,Positive
4980,Spoke yesterday with the King of Saudi Arabia about peace in the Middle-East.,the King of Saudi Arabia,Saudi Arabia,0.5423,Positive
10584,RT @GOP: “America loves India America respects India and America will always be faithful and loyal friends to the Indian people!” -@realD…,India,India,0.937,Positive
1364,China is laughing at our expense.,China,China,0.4939,Positive
7585,In Venezuela and across the Western Hemisphere Socialism is DYING - and liberty prosperity and democracy are being REBORN...https://t.co/hPL5W48Pmg,Venezuela,Venezuela,0.5267,Positive
931,Washington should have brought in Strasburg to relieve-- they would have won.,Strasburg,France,0.5719,Positive
9586,I need you to Get Out and Vote for our Great Republican nominee @TateReeves.,Great,Canada,0.6249,Positive
1771,China Russia and Iran are laughing at us.,China,China,0.4939,Positive
8489,While there it was great to call on Chairman Kim of North Korea to have our very well covered meeting.,North Korea,North Korea,0.7574,Positive
2137,@IrishTimes  Thanks to you and the wonderful Simon Carswell for the great story on Trump International Golf Links Ireland.,Ireland,Ireland,0.8934,Positive
801,Now is the time to make a great deal with Iran.,Iran,Iran,0.6249,Positive
3331,Our spectacular ballroom under construction at the great Turnberry resort in Scotland.,Scotland,United Kingdom,0.6249,Positive
9943,Hard to believe but if Nancy Pelosi had put our great Trade Deal with Mexico and Canada USMCA up for a vote long ago our economy would be even better.,Canada,Canada,0.8834,Positive
8394,Thank you PM @Netanyahu and the State of Israel for this great honor!????????,the State of Israel,Israel,0.8634,Positive
8622,I will be calling the very talented Prime Minister of Sweden to see what we can do about helping A$AP Rocky.,Sweden,Sweden,0.6997,Positive
4586,If Cuba is unwilling to make a better deal for the Cuban people the Cuban/American people and the U.S. as a whole I will terminate deal.,Cuba,Cuba,0.4404,Positive
4749,Japan is very well represented!,Japan,Japan,0.3989,Positive
8930,So Germany is paying Zero interest and is actually being paid to borrow money while the U.S. a far stronger and more important credit is paying interest and just stopped (I hope!),Germany,Germany,0.8993,Positive
3706,Kasich is good for Mexico!,Mexico,Mexico,0.4926,Positive
7273,I was very much looking forward to having a press conference just prior to leaving Argentina because we have had such great success in our dealing with various countries and their leaders at the G20....,Argentina,Argentina,0.8316,Positive
7165,Thank you to @EmmanuelMacron President of France!,France,France,0.4199,Positive
2469,Why isn't China and Russia helping - they gain so much!,China,China,0.7088,Positive
6989,@ErikPaulson @JasonLewis @JimHagedornMN and @PeteStauber love our Country and the Great State of Minnesota.,the Great State,Zimbabwe,0.8519,Positive
1269,@mayorgas  Good!,@mayorgas,Philippines,0.4926,Positive
5583,More great news as a result of historical Tax Cuts and Reform: Fiat Chrysler announces plan to invest more than $1 BILLION in Michigan plant relocating their heavy-truck production from Mexico to Michigan adding 2500 new jobs and paying $2000 bonus to U.S. employees!,Mexico,Mexico,0.7897,Positive
5284,RT @Jenniffer2012: Thank you @realDonaldTrump for all the help you are providing for Puerto Rico.,Puerto Rico,Puerto Rico,0.6369,Positive
4039,The opening of Trump Turnberry in Scotland was a big success.,Scotland,United Kingdom,0.5719,Positive
2568,Via @haaretzcom: “Donald Trump calls Obama Israel's greatest enemy” http://t.co/ySumv5Xpn8,Obama Israel's,Israel,0.6369,Positive
6650,North Korea has just staged their parade celebrating 70th anniversary of founding without the customary display of nuclear missiles.,North Korea,North Korea,0.5719,Positive
2124,Isn't it ironic that China is going all in nuclear for energy while at the same time making wind turbines for others.,China,China,0.3549,Positive
7621,Sanctions placed on the border by China and Russia have been very helpful.,Russia,Russia,0.4754,Positive
5767,P.M. Justin Trudeau of Canada a very good guy doesn’t like saying that Canada has a Surplus vs. the U.S.(negotiating) but they do...they almost all do...and that’s how I know!,Canada,Canada,0.4834,Positive
1691,Let the Arab League take care of Syria.,Syria,Syria,0.4939,Positive
8298,I am pleased to inform you that The United States of America has reached a signed agreement with Mexico.,Mexico,Mexico,0.8519,Positive
9648,RT @WhiteHouse: President @realDonaldTrump just announced a major breakthrough toward achieving a better future for Syria and the Middle Ea…,Syria,Syria,0.4404,Positive
6189,Thank you for all of the compliments on getting the World Cup to come to the U.S.A. Mexico and Canada.,Mexico,Mexico,0.6369,Positive
9905,RT @WhiteHouse: President @realDonaldTrump just met with President @EmmanuelMacron of France—a partner of the United States in many key ven…,France,France,0.4215,Positive
5317,It was my great honor to welcome Prime Minister Alexis Tsipras of Greece to the WH today!,Greece,Greece,0.8908,Positive
9015,The G7 in France was so successful and yet when I came back and read the Corrupt and Fake News and watched numerous networks it was not even recognizable from what actually took place at the Great G7 event!,G7,Mexico,0.7997,Positive
9576,Anyone who wants to assist Syria in protecting the Kurds is good with me whether it is Russia China or Napoleon Bonaparte.,Syria,Syria,0.4404,Positive
1405,China will extract much from Secretary Kerry and the U:S. in order for them to help us with the North Korea problem-don't let this happen!,North Korea,North Korea,0.4574,Positive
9311,“@FoxNews bombshell information reports that the so-called Whistleblower did not have firsthand knowledge of that phone conversation with Ukraine’s President.” Wow!,Ukraine,Ukraine,0.6239,Positive
6350,Congratulations to France who played extraordinary soccer on winning the 2018 World Cup.,France,France,0.8658,Positive
4983,RT @JacobAWohl: @realDonaldTrump When Obama was President the #MSM LOVED talking about stock market rallies!,Obama,Japan,0.7118,Positive
6753,It was my great honor to welcome President @AlsisiOfficial of Egypt to the United States this afternoon in New York City.,Egypt,Egypt,0.9201,Positive
5829,When a car is sent to China from the United States there is a Tariff to be paid of 25%.,China,China,0.4215,Positive
10183,RT @LindseyGrahamSC: I very much support Senator @tedcruz's resolution in support of President @realDonaldTrump's decision to take out Iran…,Iran,Iran,0.7146,Positive
506,Proud to see my friend Governor Chris Christie standing up for Israel on his visit.,Israel,Israel,0.743,Positive
8310,Everyone very excited about the new deal with Mexico!,Mexico,Mexico,0.4561,Positive
1773,China Russia and Iran are laughing at us.,Iran,Iran,0.4939,Positive
8661,Apple will not be given Tariff waiver or relief for Mac Pro parts that are made in China.,China,China,0.4767,Positive
5996,Congratulations to Deb Fischer.,Deb Fischer,Russia,0.5994,Positive
5535,The entire world understands that the good people of Iran want change and other than the vast military power of the United States that Iran’s people are what their leaders fear the most.... https://t.co/W8rKN9B6RT,Iran,Iran,0.4215,Positive
6158,RT @Scavino45: President @realDonaldTrump and the Prime Minister of Italy @GiuseppeConteIT at the #G7Summit in Canada... https://t.co/lju3…,Canada,Canada,0.0,Neutral
8560,I am not a fan of Bitcoin and other Cryptocurrencies which are not money and whose value is highly volatile and based on thin air.,Bitcoin,None,0.1124,Positive
1913,Obama is going to take away over 90M Americans’ healthcare plans but he is letting Iran keep its nukes.,Iran,Iran,0.0,Neutral
1242,@misskhan Very nice--thanks again.,@misskhan,None,0.0,Neutral
8282,Today we remember those who fell and we honor all who fought here in Normandy.,Normandy,France,0.2263,Positive
9154,Just spoke to Governor @HenryMcMaster of South Carolina regarding Hurricane Dorian.,Hurricane Dorian,Argentina,0.0,Neutral
5717,Mexico must do much more on stopping drugs from pouring into the U.S.,Mexico,Mexico,-0.2212,Negative
7790,After many years (decades) Mexico is apprehending large numbers of people at their Southern Border mostly from Guatemala Honduras and El Salvador.,Guatemala Honduras,Guatemala,0.0,Neutral
10275,Two stone cold losers from Amazon WP.,Amazon WP,Poland,0.0085,Positive
208,We should be working to stop Iran's nuclear drive.,Iran,Iran,-0.29600000000000004,Negative
748,$716 Billion from Medicare by @BarackObama.,@BarackObama,Japan,0.0,Neutral
6033,Our Trade Deal with China is moving along nicely but in the end we will probably have to use a different structure in that this will be too hard to get done and to verify results after completion.,China,China,0.09,Positive
343,@BarackObama ‘asked’ Iran for our drone back.,Iran,Iran,0.0,Neutral
960,The last time I visited China I couldn't believe all the construction.,China,China,0.0,Neutral
8953,https://t.co/1w1oZzUrWX,https://t.co/1w1oZzUrWX,Colombia,0.0,Neutral
8445,Iran leadership doesn’t understand the words “nice” or “compassion” they never have.,Iran,Iran,0.0,Neutral
9079,Pray for the people in the Bahamas.,Bahamas,The Bahamas,0.3182,Positive
4834,Had a very good call last night with the President of China concerning the menace of North Korea.,North Korea,North Korea,-0.0018,Negative
829,Libya Egypt Iraq Afghanistan--all (cont) http://t.co/TzsrGrEm,Afghanistan,Afghanistan,0.0,Neutral
195,We are leaving the country wide open for Iran.,Iran,Iran,0.0,Neutral
2045,Iraq buying $200000000 worth of weapons from Iran.,Iran,Iran,-0.25,Negative
2260,Now Syria is bombing Iraq and Secy.,Iraq,Iraq,0.0,Neutral
514,@BarackObama's friends are enemies of the US and @Israel.,@Israel,Israel,-0.0258,Negative
4171,The plane I saw on television was the hostage plane in Geneva Switzerland not the plane carrying $400 million in cash going to Iran!,Switzerland,Switzerland,0.0,Neutral
9677,First Russia then obstruction now Ukraine.,Russia,Russia,0.0,Neutral
5474,The Chinese Envoy who just returned from North Korea seems to have had no impact on Little Rocket Man.,North Korea,North Korea,-0.29600000000000004,Negative
9000,Very productive meeting with Angela Merkel the Chancellor of the Federal Republic of Germany at the #G7Summit in Biarritz France!,the Federal Republic of Germany,Germany,0.0,Neutral
4151,So with all of the Obama tough talk on Russia and the Ukraine they have already taken Crimea and continue to push.,Russia,Russia,-0.128,Negative
6323,RT @realDonaldTrump: I am in Brussels but always thinking about our farmers.,Brussels,Belgium,0.0,Neutral
4245,Mexico will pay for the wall - 100%!#MakeAmericaGreatAgain #ImWithYouhttps://t.co/pSFuPZz0xP,Mexico,Mexico,-0.1759,Negative
6265,Russia continues to say they had nothing to do with Meddling in our Election!,Russia,Russia,0.0,Neutral
6996,We need Rod in D.C.,Rod,Norway,0.0,Neutral
3319,Major article in Daily Mail.,Daily Mail,India,0.0,Neutral
1783,I predict that President Obama will at some point attack Iran in order to save face!,Iran,Iran,0.1007,Positive
3167,Both Aberdeen and Turnberry in Scotland and the soon to open Doonbeg in Ireland blow Bandon Dunes away.,Scotland,United Kingdom,0.0,Neutral
4649,China steals United States Navy research drone in international waters - rips it out of water and takes it to China in unprecedented act.,China,China,-0.128,Negative
1932,First Minister Salmond should stop his fruitless drive for obsolete wind turbines in Scotland-he would become popular again!,Scotland,United Kingdom,-0.2244,Negative
6594,At the same time we also know that China is providing North Korea with...,China,China,0.0,Neutral
4172,The plane I saw on television was the hostage plane in Geneva Switzerland not the plane carrying $400 million in cash going to Iran!,Iran,Iran,0.0,Neutral
5228,Today I announced a new Executive Order with re: to North Korea.,North Korea,North Korea,0.0,Neutral
1593,We should not cut any aid to Egypt.,Egypt,Egypt,0.2057,Positive
1889,Afghanistan leaders want the U.S. to keep 20 000 troops there for many more years fully paid for by the U.S. but first they want apology.,Afghanistan,Afghanistan,0.2263,Positive
5180,South Korea is finding as I have told them that their talk of appeasement with North Korea will not work they only understand one thing!,North Korea,North Korea,0.0,Neutral
3400,Man shot inside Paris police station.,Paris,France,0.0,Neutral
8171,RT @AbeShinzo: President Trump and the First Lady are staying in Japan as the first State Guests of the new era “Reiwa”!,Japan,Japan,0.0,Neutral
1885,Can you believe it—the model who mysteriously disappeared from the ObamaCare website is not a US citizen—she’s from Colombia.,Colombia,Colombia,-0.2263,Negative
3108,@MittRomney is trying to hit back at me because I'm saying that he let the Repub Party down w/ his loss to Obama.,Obama,Japan,0.1027,Positive
2880,U.S. got NOTHING!,NOTHING,None,0.0,Neutral
1400,It is time for him to come on TV and show strength against the repeated threats from North Korea -- and others.,North Korea,North Korea,0.1027,Positive
2061,M.M.,M.M.,None,0.0,Neutral
8542,India has long had a field day putting Tariffs on American products.,India,India,0.0,Neutral
2266,I'm leaving now for Ireland Spain Scotland and elsewhere--crazy life!,Ireland Spain Scotland,United Kingdom,0.0,Neutral
1092,“Trump Brand Expands To South America: The Donald Lends His Name To Luxury Tower In Uruguay” http://t.co/ilqlCyQC via @Forbes,Uruguay,Uruguay,0.1027,Positive
5295,Presidents and their administrations have been talking to North Korea for 25 years agreements made and massive amounts of money paid......,North Korea,North Korea,0.2732,Positive
1556,@pbanura or Ireland?,Ireland,Ireland,0.0,Neutral
916,Now that Obama’s poll numbers are in tailspin – watch for him to launch a strike in Libya or Iran.,Libya,Libya,-0.128,Negative
5554,We have taken Jerusalem the toughest part of the negotiation off the table but Israel for that would have had to pay more.,Israel,Israel,-0.1901,Negative
1018,We should not allow @Chrysler to move @Jeep jobs to China after they said they wouldn't--stay tuned!,China,China,-0.2401,Negative
319,Michele Bachmann got less than 1200 more votes in the Caucus than she did in the Ames Straw Poll.,Caucus,"('NIL', '[[Caucus]]')",0.0,Neutral
2689,@GeraldoRivera or @LeezaGibbons?,@GeraldoRivera,Uruguay,0.0,Neutral
2450,Really interesting President Obama was quick to shut down flights to Isreal but is totally unwilling to shut down flights from West Africa!,West Africa,Zambia,0.3157,Positive
8470,After some very important meetings including my meeting with President Xi of China I will be leaving Japan for South Korea (with President Moon).,South Korea,South Korea,0.2716,Positive
10544,https://t.co/oUTz9njZPg,https://t.co/oUTz9njZPg,Colombia,0.0,Neutral
250,#trumpvlog @BarackObama is very inconsiderate... http://t.co/mnF00H17,@BarackObama,Japan,0.0,Neutral
5431,Now that the three basketball players are out of China and saved from years in jail LaVar Ball the father of LiAngelo is unaccepting of what I did for his son and that shoplifting is no big deal.,China,China,0.1531,Positive
1814,Obama is tougher on WWII vets wanting to visit a DC memorial than Iran.,Iran,Iran,0.1779,Positive
9962,RT @WSJ: From @WSJopinion: The effort to sink Justice Brett Kavanaugh’s confirmation cries out for investigation write @DavidRivkin and Le…,Le,Italy,0.1779,Positive
1095,Gold just set another record high on price with the largest physical gold sales on record http://t.co/fjiOnw2g  Inflation is coming...,http://t.co/fjiOnw2,Colombia,0.0,Neutral
837,Imagine if Obama speaks in Beijing?,Beijing,China,0.0,Neutral
5408,Does the Fake News Media remember when Crooked Hillary Clinton as Secretary of State was begging Russia to be our friend with the misspelled reset button?,Russia,Russia,0.0258,Positive
5977,Big week next week when the American Embassy in Israel will be moved to Jerusalem.,Israel,Israel,0.0,Neutral
1123,The UK is seriously thinking about halting wind turbine subsidies.,UK,United Kingdom,-0.1779,Negative
5527,“On 1/20 - the day Trump was inaugurated - an estimated 35000 ISIS fighters held approx 17500 square miles of territory in both Iraq and Syria.,Iraq,Iraq,-0.0516,Negative
2233,@GolfDigestMag  Big news from Scotland on Turnberry (which by the way blows Pinehurst away!),Scotland,United Kingdom,0.0,Neutral
9221,“China suspends Tariffs on some U.S. products.,China,China,0.0,Neutral
8988,Big Trade Deal just agreed to with Prime Minister Abe of Japan.,Japan,Japan,0.2732,Positive
8925,Rep Tlaib wants to cut off aid to Israel.,Israel,Israel,-0.2732,Negative
1722,Must read via @IowaGOP by @shanevanderhart: “Congress Should Vote No on Syria” http://t.co/GVZ8Ao3SI8,Syria,Syria,-0.29600000000000004,Negative
2267,I just arrived in Barcelona.,Barcelona,Spain,0.0,Neutral
564,My @SquawkCNBC interview discussing the Republic of Georgia taxes the fledgling economy and Facebook http://t.co/AiV3QMch,the Republic of Georgia,Georgia,0.0,Neutral
7719,There must be Collusion with the Democrats and of course Russia!,Russia,Russia,0.0,Neutral
9146,RT @NHC_Atlantic: Here are the 11 am EDT key messages on Hurricane #Dorian.,Hurricane #Dorian,Argentina,0.0,Neutral
1346,North Korea is reliant on China.,North Korea,North Korea,0.128,Positive
5548,Rocket man now wants to talk to South Korea for first time.,South Korea,South Korea,0.0,Neutral
4754,After two days of very productive talks Prime Minister Abe is heading back to Japan.,Japan,Japan,0.0,Neutral
10291,Will be interviewed at 5:00 A.M. Eastern by @JoeSquawk on @CNBC at the World Economic Forum in Davos Switzerland.,Switzerland,Switzerland,0.0,Neutral
6206,https://t.co/PFvXrsvgkA,https://t.co/PFvXrsvgkA,Colombia,0.0,Neutral
10091,Got ZERO Republican votes there was no crime the call with Ukraine was perfect with “no pressure.” She said it must be “bipartisan....,Ukraine,Ukraine,-0.25,Negative
1017,@Chrysler disputes my statement--but watch Chrysler move @Jeep jobs to China after the election.,China,China,-0.2732,Negative
1042,Beijing had a bigger celebration than Chicago last night.,Beijing,China,0.0,Neutral
1198,Does anyone really believe that Chuck Hagel is sorry for any of his past comments or supports Israel?,Israel,Israel,0.29600000000000004,Positive
8774,China has always....,China,China,0.0,Neutral
7164,Beautiful ceremony today in Paris commemorating the end of World War One.,Paris,France,0.0,Neutral
8458,Just departed for the #G20 Summit in Osaka Japan!????????,Japan,Japan,0.0,Neutral
1223,Spain's government is closing down wind turbines--- the maintenance is higher than the income.,Spain,Spain,0.0,Neutral
500,He is worried because SG (cont) http://t.co/c5TEPU5B,SG,Singapore,-0.29600000000000004,Negative
4905,Just arrived in Taormina with @FLOTUS Melania.,Taormina,Italy,0.0,Neutral
4545,Just landed in North Carolina- heading to the J.S.,J.S.,None,0.0,Neutral
874,Despite all of China's cheating they are not doing that well--we can beat them--our country has great potential!,China,China,0.2003,Positive
9708,.....with a President and Federal Government that wants our wonerful City and State to flourish and thrive.,wonerful City and State,None,0.0,Neutral
167,Wrong message to send to China.,China,China,-0.4767,Negative
10168,Let this serve as a WARNING that if Iran strikes any Americans or American assets we have.....,Iran,Iran,-0.6037,Negative
6371,Some people HATE the fact that I got along well with President Putin of Russia.,Russia,Russia,-0.516,Negative
8146,Rex Tillerson a man who is “dumb as a rock” and totally ill prepared and ill equipped to be Secretary of State made up a story (he got fired) that I was out-prepared by Vladimir Putin at a meeting in Hamburg Germany.,Hamburg,Germany,-0.6133,Negative
7178,The problem is that France makes it very hard for the U.S. to sell its wines into France and charges big Tariffs whereas the U.S. makes it easy for French wines and charges very small Tariffs.,France,France,-0.5709,Negative
6627,Just like the NFL whose ratings have gone WAY DOWN Nike is getting absolutely killed with anger and boycotts.,boycotts,United Kingdom,-0.8643,Negative
8743,RT @RepMarkMeadows: Joining @VP condemning Iran’s reported punishment of Mahrokh Kanbari for practicing her Christian beliefs.,Iran,Iran,-0.4939,Negative
8328,When will the Failing New York Times admit that their front page story on the  the new Mexico deal at the Border is a FRAUD and nothing more than a badly reported “hit job” on me something that has been going on since the first day I announced for the presidency!,Mexico,Mexico,-0.6772,Negative
2084,President Obama looks absolutely exhausted in the Netherlands.,Netherlands,Netherlands,-0.4201,Negative
4551,Today in Florida I pledged to stand with the people of Cuba and Venezuela in their fight against oppression- cont: https://t.co/8eELqk2wUw,Cuba,Cuba,-0.3818,Negative
4091,Is President Obama trying to destroy Israel with all his bad moves?,Israel,Israel,-0.7906,Negative
1580,Millions protesting in Egypt for Morsi’s ouster http://t.co/AAJxDF90Bl When will Obama demand Morsi’s resignation as he did to Mubarak,Morsi,India,-0.6705,Negative
5547,Soldiers are dangerously fleeing to South Korea.,South Korea,South Korea,-0.4588,Negative
6179,They are fighting hard to downplay the deal with North Korea.,North Korea,North Korea,-0.4404,Negative
9562,....Democrat’s game was foiled when we caught Schiff fraudulently making up my Ukraine conversation when I released the exact conversation Transcript and when Ukrainian President and the Foreign Minister said there was NO PRESSURE very normal talk!,Ukraine,Ukraine,-0.7317,Negative
9931,King Salman of Saudi Arabia just called to express his sincere condolences and give his sympathies to the families and friends of the warriors who were killed and wounded in the attack that took place in Pensacola Florida....,Saudi Arabia,Saudi Arabia,-0.4215,Negative
8010,We have lost 500 Billion Dollars a year for many years on Crazy Trade with China.,China,China,-0.5719,Negative
6349,Unfortunately no matter how well I do at the Summit if I was given the great city of Moscow as retribution for all of the sins and evils committed by Russia...,Russia,Russia,-0.4404,Negative
8569,We  stupidly lost 30% of our auto business to Mexico.,Mexico,Mexico,-0.6486,Negative
1215,In 2010 alone our trade deficit with China cost over 566000 jobs http://t.co/u9gb8nY9  This is unsustainable for the American worker.,China,China,-0.5719,Negative
4715,The U.S. has a 60 billion dollar trade deficit with Mexico.,Mexico,Mexico,-0.4019,Negative
8064,She obviously has tremendous hatred of Israel and the Jewish people.,Israel,Israel,-0.6369,Negative
8975,For all of the Fake News Reporters that don’t have a clue as to what the law is relative to Presidential powers China etc.,China,China,-0.4767,Negative
6172,There is no longer a Nuclear Threat from North Korea.,North Korea,North Korea,-0.6808,Negative
7867,Spoke to Prime Minister Ranil Wickremesinghe of Sri Lanka this morning to inform him that the United States stands by him and his country in the fight against terrorism.,Sri Lanka,Sri Lanka,-0.6597,Negative
7305,Last year over 77000 people died from Fentanyl.,Fentanyl,None,-0.5574,Negative
4804,A great American Kurt Cochran was killed in the London terror attack.,London,United Kingdom,-0.7845,Negative
9353,Again the President of Ukraine said there was NO (ZERO) PRESSURE PUT ON HIM BY ME.,Ukraine,Ukraine,-0.7065,Negative
830,I always said the people we fought for in Libya were bad news.,Libya,Libya,-0.7003,Negative
1668,Obama' ststement on Egypt was terrible and dumb-now being used by military as a rallying cry-our foreign policy is worst in U.S. history.,Egypt,Egypt,-0.802,Negative
1389,It’s Tuesday how much has China stolen from us today through cyber espionage?,China,China,-0.4939,Negative
1858,ObamaCare is a disaster and Snowden is a spy who should be executed-but if it and he could reveal Obama's recordsI might become a major fan,Obama,Japan,-0.4215,Negative
9024,That includes from the incompetent Mayor of San Juan!,San Juan,Puerto Rico,-0.5255,Negative
8292,The Tariffs scheduled to be implemented by the U.S. on Monday against Mexico are hereby indefinitely suspended.,Mexico,Mexico,-0.4767,Negative
1867,@BrightonPatriot @Mulder1981 @AlexSalmond True--he is killing Scotland!,Scotland,United Kingdom,-0.69,Negative
6691,....GWU Research to tell them how many people had died in Puerto Rico (how would they not know this?).,Puerto Rico,Puerto Rico,-0.5574,Negative
2666,Based on new oil prices the ugly windfarms being built in Scotland will quickly die!,Scotland,United Kingdom,-0.8172,Negative
905,Obama's '07 speech which @DailyCaller just released not only shows that Obama is a racist but also how the press always covers for him.,Obama,Japan,-0.3612,Negative
1629,Vattenfall the promoter of the money losing wind farm plan in Aberdeen Scotland just took a loss of $4.6 billion after dumb European move,Aberdeen,United Kingdom,-0.802,Negative
247,In order to get elected @BarackObama will start a war with Iran.,Iran,Iran,-0.5994,Negative
7517,With Murders up 33% in Mexico a record why wouldn’t any sane person want to build a Wall!,Mexico,Mexico,-0.6114,Negative
9862,RT @ByronYork: Schiff says when Republicans use phrase 'Russia hoax' they are denying Russian interference.,Russia,Russia,-0.5423,Negative
